scene,seq,N_req,ranking,auroc,prec_top,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0011,4,support,0.7082270100054457,0.657500959201944,7819,51469,0.2605325195427315,0.899484221025281,0.5800083702840062,0.49661081979792815,0.26330412481299426,0.3441429286444846,0.657500959201944,0.3727875031572403,0.4758048835044265,0.8393656477810462,0.5477860459694185,0.6629307975357615,0.0980788675429727
apartment_2,seq_0011,4,logit_count,0.7082270100054457,0.657500959201944,7819,51469,0.2605325195427315,0.899484221025281,0.5800083702840062,0.49661081979792815,0.26330412481299426,0.3441429286444846,0.657500959201944,0.3727875031572403,0.4758048835044265,0.8393656477810462,0.5477860459694185,0.6629307975357615,0.0980788675429727
apartment_2,seq_0011,4,mlp_all,0.8082103055407779,0.7963934006906254,7819,51469,0.17691809966769376,1.0214691658533819,0.5991936327605378,0.6097966491878757,0.3053294215935806,0.4069141162752469,0.7963934006906254,0.3903709028735744,0.5239267981628127,0.9152065481519376,0.4955021469233908,0.642920556271776,0.12587473002159827
apartment_2,seq_0011,4,mlp_noconf,0.8166915256970821,0.8012533572068039,7819,51469,0.18043723878070847,0.9881899908120113,0.5843136147963599,0.6152960736667094,0.3009384289572364,0.40418961133318965,0.8012533572068039,0.3852804600827683,0.5203513926180166,0.909835017265635,0.5109483378344246,0.6543977139184486,0.12572884723361982
apartment_2,seq_0011,-1,support,0.7181452613518636,0.5264662935020686,16436,51469,0.3461932359153769,0.8197353907212132,0.582964313318295,0.37004137259673886,0.35961452524820764,0.3647534486368244,0.5264662935020686,0.46530921525578506,0.49400215215009863,0.7821246045266488,0.602809458120422,0.6808585646831706,0.11285457579258118
apartment_2,seq_0011,-1,logit_count,0.7181452613518636,0.5264662935020686,16436,51469,0.3461932359153769,0.8197353907212132,0.582964313318295,0.37004137259673886,0.35961452524820764,0.3647534486368244,0.5264662935020686,0.46530921525578506,0.49400215215009863,0.7821246045266488,0.602809458120422,0.6808585646831706,0.11285457579258118
apartment_2,seq_0011,-1,mlp_all,0.8026420255058079,0.646872718422974,16436,51469,0.31801550162317316,0.8477635933238566,0.582889547473515,0.4637381357994646,0.38615477277584564,0.421405315070395,0.646872718422974,0.45437059200683905,0.5337965502068813,0.8018374300316379,0.5784452777399989,0.6720638783713794,0.14232542819499341
apartment_2,seq_0011,-1,mlp_noconf,0.7935431452561613,0.6202847408128498,16436,51469,0.3232407281305082,0.8096605864801762,0.5664506573053423,0.4561328790459966,0.3809866133012104,0.4151868936077455,0.6202847408128498,0.4530688375527016,0.5236516505580527,0.7910075444146994,0.5907828012978686,0.6763886495329042,0.1427394642327589
frl_apartment_5,seq_0001,4,support,0.5965861600725293,0.6424596172118908,7367,48964,0.34561813340883124,1.2249618626453562,0.7852899980270938,0.4567666621419845,0.2716894044604199,0.340716943970386,0.6424596172118908,0.4023568335920268,0.4948199601819529,0.7704628749830325,0.5623723551997386,0.6501734224698626,0.09735988466390341
frl_apartment_5,seq_0001,4,logit_count,0.5965861600725293,0.6424596172118908,7367,48964,0.34561813340883124,1.2249618626453562,0.7852899980270938,0.4567666621419845,0.2716894044604199,0.340716943970386,0.6424596172118908,0.4023568335920268,0.4948199601819529,0.7704628749830325,0.5623723551997386,0.6501734224698626,0.09735988466390341
frl_apartment_5,seq_0001,4,mlp_all,0.7452841365558093,0.8312746029591421,7367,48964,0.1334702019845725,0.8867609123491826,0.5101155571668776,0.6097461653318854,0.29979168368597336,0.4019554100432441,0.8312746029591421,0.4350951719630749,0.5712132008919117,0.9664721053346003,0.5755248754186749,0.7214394644879254,0.12399630826026765
frl_apartment_5,seq_0001,4,mlp_noconf,0.6810920749235976,0.7936744943667707,7367,48964,0.15308794802735842,0.9484661197357321,0.5507770338815453,0.5857201031627528,0.2904582958908586,0.3883393227165404,0.7936744943667707,0.4174904011110203,0.5471616362758844,0.9436677073435591,0.562311085695613,0.7047042302387115,0.11975910261125414
frl_apartment_5,seq_0001,-1,support,0.6267815569116455,0.6277082906158157,14631,48964,0.35748550327201456,0.9246239721462601,0.6410547377091373,0.42362107853188435,0.37072134629523734,0.39540976698193986,0.6277082906158157,0.4694060942733437,0.5371365121071405,0.7648144351035473,0.6251531737603137,0.6879673575033842,0.1330442883760929
