scene,seq,n_steps,N_req,N,seed,span_m,n_ref_subset,n_ref_fixed,variant,ref,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,kept_frac_vox
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,base,subset,1.0,6136,14163,0.23823051417983157,0.18719141622727378,0.21271096520355268,0.34631681877444587,0.36814234272399915,0.3568962142523373,0.6448826597131682,0.6621478500317729,0.6534012227995712,0.886897001303781,0.9518463602344136,0.9182245877832739,0.1142562564439029,
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,base,subset,0.25,1534,14163,0.16033244655921539,0.5814204943264643,0.37087647044283983,0.4954367666232073,0.24055637929817128,0.32386300174269045,0.7979139504563233,0.4795594153780979,0.5990686895502125,0.9276401564537158,0.7330367859916684,0.8189363523556041,0.08503350707371556,
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,base,fixed,1.0,6136,29308,0.22681283601874283,0.23573757532052417,0.2312752056696335,0.38852672750977835,0.28296028388153405,0.3274453004949148,0.670632333767927,0.5556162140030025,0.60773029897319,0.8908083441981747,0.8973659069196124,0.8940751016666976,0.11056657013440262,
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,base,fixed,0.25,1534,29308,0.15554912694917566,1.1293636953518131,0.6424564111504945,0.5254237288135594,0.1447045175378736,0.22691533328097882,0.8102998696219035,0.2999181110959465,0.43779439810758186,0.9282920469361148,0.5035143987989628,0.6528932919881258,0.06522633744855967,
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra0,subset,1.0,6136,14163,0.23823051417983157,0.18719141622727378,0.21271096520355268,0.34631681877444587,0.36814234272399915,0.3568962142523373,0.6448826597131682,0.6621478500317729,0.6534012227995712,0.886897001303781,0.9518463602344136,0.9182245877832739,0.1142562564439029,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra0,subset,0.25,1534,14163,0.16033244655921539,0.5814204943264643,0.37087647044283983,0.4954367666232073,0.24055637929817128,0.32386300174269045,0.7979139504563233,0.4795594153780979,0.5990686895502125,0.9276401564537158,0.7330367859916684,0.8189363523556041,0.08503350707371556,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra0,fixed,1.0,6136,29308,0.22681283601874283,0.23573757532052417,0.2312752056696335,0.38852672750977835,0.28296028388153405,0.3274453004949148,0.670632333767927,0.5556162140030025,0.60773029897319,0.8908083441981747,0.8973659069196124,0.8940751016666976,0.11056657013440262,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra0,fixed,0.25,1534,29308,0.15554912694917566,1.1293636953518131,0.6424564111504945,0.5254237288135594,0.1447045175378736,0.22691533328097882,0.8102998696219035,0.2999181110959465,0.43779439810758186,0.9282920469361148,0.5035143987989628,0.6528932919881258,0.06522633744855967,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra1,subset,1.0,6136,14163,0.23823051417983157,0.18719141622727378,0.21271096520355268,0.34631681877444587,0.36814234272399915,0.3568962142523373,0.6448826597131682,0.6621478500317729,0.6534012227995712,0.886897001303781,0.9518463602344136,0.9182245877832739,0.1142562564439029,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra1,subset,0.25,1534,14163,0.16033244655921539,0.5814204943264643,0.37087647044283983,0.4954367666232073,0.24055637929817128,0.32386300174269045,0.7979139504563233,0.4795594153780979,0.5990686895502125,0.9276401564537158,0.7330367859916684,0.8189363523556041,0.08503350707371556,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra1,fixed,1.0,6136,29308,0.22681283601874283,0.23573757532052417,0.2312752056696335,0.38852672750977835,0.28296028388153405,0.3274453004949148,0.670632333767927,0.5556162140030025,0.60773029897319,0.8908083441981747,0.8973659069196124,0.8940751016666976,0.11056657013440262,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra1,fixed,0.25,1534,29308,0.15554912694917566,1.1293636953518131,0.6424564111504945,0.5254237288135594,0.1447045175378736,0.22691533328097882,0.8102998696219035,0.2999181110959465,0.43779439810758186,0.9282920469361148,0.5035143987989628,0.6528932919881258,0.06522633744855967,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra2,subset,1.0,6136,14163,0.23823051417983157,0.18719141622727378,0.21271096520355268,0.34631681877444587,0.36814234272399915,0.3568962142523373,0.6448826597131682,0.6621478500317729,0.6534012227995712,0.886897001303781,0.9518463602344136,0.9182245877832739,0.1142562564439029,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra2,subset,0.25,1534,14163,0.16033244655921539,0.5814204943264643,0.37087647044283983,0.4954367666232073,0.24055637929817128,0.32386300174269045,0.7979139504563233,0.4795594153780979,0.5990686895502125,0.9276401564537158,0.7330367859916684,0.8189363523556041,0.08503350707371556,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra2,fixed,1.0,6136,29308,0.22681283601874283,0.23573757532052417,0.2312752056696335,0.38852672750977835,0.28296028388153405,0.3274453004949148,0.670632333767927,0.5556162140030025,0.60773029897319,0.8908083441981747,0.8973659069196124,0.8940751016666976,0.11056657013440262,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra2,fixed,0.25,1534,29308,0.15554912694917566,1.1293636953518131,0.6424564111504945,0.5254237288135594,0.1447045175378736,0.22691533328097882,0.8102998696219035,0.2999181110959465,0.43779439810758186,0.9282920469361148,0.5035143987989628,0.6528932919881258,0.06522633744855967,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,smooth5,subset,1.0,5802,14163,0.2386593632021394,0.19033854647931514,0.21449895484072729,0.344364012409514,0.3597401680434936,0.35188419876339083,0.6418476387452603,0.6555108380992728,0.6486072910692721,0.8914167528438469,0.9487396737979241,0.919185376924171,0.11299489451883248,
