scene,seq,N_req,N,n_vox,method,param,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0005,-1,18,48022,union,0,1.0,48022,53901,0.31439082497341103,0.1996283512929582,0.25700958813318464,0.27874724084794467,0.6950705923823306,0.3979163313911216,0.47338719753446334,0.7992430567150888,0.5945975738103779,0.8015701136978884,0.8940279401124284,0.8452782497533766,0.14211145157842228
apartment_2,seq_0005,-1,18,48022,support_frac,0.9,0.8999833409687227,43219,53901,0.2828928395733213,0.21024459584648977,0.24656871770990552,0.29621231402855225,0.6607298565889316,0.40904523967560436,0.4987852564844166,0.7721563607354224,0.6060706537849919,0.8301210115921238,0.8873119237119905,0.8577642323822349,0.148117316813474
apartment_2,seq_0005,-1,18,48022,support_frac,0.75,0.7499895881054517,36016,53901,0.2561440720010763,0.2252365723527329,0.24069032217690461,0.3205242114615726,0.6346821023728688,0.425941448345778,0.5316525988449577,0.7628800949889613,0.6266155919272657,0.8601732563305198,0.8807999851579748,0.8703644299109874,0.15630270750110964
apartment_2,seq_0005,-1,18,48022,support_frac,0.5,0.5,24011,53901,0.19615342092586607,0.2762159955429845,0.23618470823442528,0.3923618341593436,0.5560935789688503,0.46009521077816057,0.6251301486818541,0.6721211109255858,0.647774541583054,0.9305734871517222,0.8361996994489899,0.8808660626875681,0.17585994545614497
apartment_2,seq_0005,-1,18,48022,support_frac,0.25,0.24998958810545166,12005,53901,0.1580580495366176,0.6560478258222876,0.4070529376794526,0.4883798417326114,0.39863824418841953,0.4389693641999514,0.711786755518534,0.4978942876755533,0.5859305832883633,0.9660141607663474,0.62891226507857,0.7618384699139864,0.16826083340264494
apartment_2,seq_0005,-1,18,48022,support_frac,0.1,0.09999583524218067,4802,53901,0.12296781550641225,1.0307766397412486,0.5768722276238304,0.6155768429820908,0.23719411513701044,0.34243943975770097,0.7965431070387339,0.33687686684848145,0.47349958954519894,0.9822990420658059,0.4861876403035194,0.6504405645188815,0.12131622738740673
apartment_2,seq_0005,-1,18,48022,support_min,2,0.694681604264712,33360,53901,0.23581003248762236,0.22611011848439402,0.2309600754860082,0.3377398081534772,0.6320290903693809,0.4402314490677389,0.5568045563549161,0.7626203595480603,0.6436599549505695,0.8843225419664269,0.8807999851579748,0.8825577486768945,0.1633493318275927
apartment_2,seq_0005,-1,18,48022,support_min,3,0.5449585606596976,26170,53901,0.2044054387999516,0.25885685368105926,0.23163114624050543,0.3776079480320978,0.5747017680562513,0.4557591961941228,0.607642338555598,0.6985213632400141,0.649920303414808,0.9202521971723348,0.853564868926365,0.8856549652960621,0.17370774657667418
apartment_2,seq_0005,-1,18,48022,support_min,4,0.4600391487235017,22092,53901,0.1896255089848945,0.3138084558997866,0.25171698244234053,0.4053050878145935,0.5365392107753103,0.4617792394450684,0.6377421691109904,0.6507856997087252,0.6441979157793839,0.9369907658881043,0.8022300142854493,0.8643895290036024,0.17792792792792791
apartment_2,seq_0005,-1,18,48022,support_min,5,0.39831743784098955,19128,53901,0.17861574514612713,0.3925320267025841,0.2855738859243556,0.42675658720200754,0.5021057123244467,0.461374996736233,0.6617524048515265,0.6097103949833955,0.6346663389532449,0.9498117942283564,0.7547169811320755,0.8410994291745948,0.17846864333043302
