N_req,method,param,N,n_vox,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
-1,cluster,5,23.666666666666668,84042.51282051283,0.9908544271072706,83324.43589743589,59403.743589743586,0.5949784754381091,0.24842568934212614,0.4217020823901177,0.20075072857160095,0.6606388252696004,0.3056282295958008,0.34808562190983394,0.7770404462755468,0.4773520943653406,0.6271225838490474,0.8812317471359591,0.7296577878248927,0.10237393888740522
-1,cluster,20,23.666666666666668,84042.51282051283,0.9853129063702897,82898.35897435897,59403.743589743586,0.589237418773071,0.25152479913968445,0.4203811089563777,0.20171197637873073,0.6594826283626525,0.30659685711605145,0.3496835436064097,0.7747799914423055,0.4784011258664486,0.6296372978849518,0.8799895768303175,0.7309242419761732,0.10279878327378232
-1,cluster,100,23.666666666666668,84042.51282051283,0.9835258753268548,82764.66666666667,59403.743589743586,0.5871714927744743,0.2525045583325997,0.41983802555353705,0.2020355386365079,0.6592025580682188,0.3069316701264745,0.35021103709181123,0.7739850982986418,0.4787440345631301,0.6304940972152322,0.8789484343554688,0.7311428865533215,0.10294016357727735
-1,cluster,500,23.666666666666668,84042.51282051283,0.9831990611685506,82741.76923076923,59403.743589743586,0.5868853275556007,0.25370090744982055,0.42029311750271064,0.2020976847194998,0.6591664983218302,0.3069935931601822,0.3503172071099131,0.7738872328517444,0.47881483750792303,0.6306614258080939,0.8786797739527636,0.7311552664037385,0.10296692617397642
-1,cluster,2000,23.666666666666668,84042.51282051283,0.9831990611685506,82741.76923076923,59403.743589743586,0.5868853275556007,0.25370090744982055,0.42029311750271064,0.2020976847194998,0.6591664983218302,0.3069935931601822,0.3503172071099131,0.7738872328517444,0.47881483750792303,0.6306614258080939,0.8786797739527636,0.7311552664037385,0.10296692617397642
-1,consensus,0.03,23.666666666666668,84042.51282051283,0.4893272856209376,41356.820512820515,59403.743589743586,0.8097102182432702,0.2903126864156559,0.550011452329463,0.11381871530809914,0.3340107610006153,0.1674036005678253,0.2277863792991149,0.7008654095209484,0.33902453469975463,0.4976442748796539,0.881678691547262,0.6284278426008283,0.0404012404558755
-1,consensus,0.04,23.666666666666668,84042.51282051283,0.6325107611438708,53323.64102564102,59403.743589743586,0.7321903075934096,0.26915422796587785,0.5006722677796437,0.13581047442298377,0.47849777989557357,0.20901975153835964,0.2610149792427847,0.7658270001880945,0.3849960577561254,0.5409531431951193,0.8825305201317266,0.6651108325256784,0.05358912728822679
-1,consensus,0.05,23.666666666666668,84042.51282051283,0.9241168053122296,77617.89743589744,59403.743589743586,0.6192046368657688,0.24756730078956998,0.43338596882766933,0.19662396646702457,0.658525477085931,0.30049032955029054,0.3386087053686345,0.7795530405485165,0.468702062329195,0.6138378551187721,0.8826458320920056,0.7207975029246203,0.09886939846433107
-1,consensus,0.06,23.666666666666668,84042.51282051283,0.9966471001627633,83753.7435897436,59403.743589743586,0.6046872259422049,0.2461316546017337,0.4254094402719693,0.19944958465925672,0.6620686906585703,0.3042620975459742,0.34567805301334187,0.7797895191364672,0.47557986874539365,0.6231327346537221,0.8826791026898732,0.7273986712806295,0.10180248098999523
-1,keyframe,0.3,23.666666666666668,84042.51282051283,0.6238551125173101,52194.46153846154,59403.743589743586,0.5330067881600569,0.29562607730367957,0.4143164327318682,0.2445200901712134,0.5709768186492659,0.33986305116375004,0.40101388818012923,0.7198758408130833,0.5118709279182853,0.6690828249512983,0.8522837440102177,0.7472630302117281,0.11687201665627676
-1,keyframe,0.6,23.666666666666668,84042.51282051283,0.45209647091585325,37611.10256410256,59403.743589743586,0.5037019447793001,0.33102950082696814,0.4173657228031341,0.2728354672442623,0.5050118036884137,0.35191671439415245,0.4306977690138308,0.6701558637196895,0.521551720641054,0.6872749889711769,0.8290139903571093,0.7496182535115514,0.12207116029795437
-1,keyframe,1.0,23.666666666666668,84042.51282051283,0.34504565441140356,28623.20512820513,59403.743589743586,0.4778977129141994,0.3762552308718283,0.42707647189301384,0.29926192837473625,0.45488559945916573,0.35834897952553596,0.456307069584018,0.6285001706511131,0.5258003781591469,0.7026348108202207,0.8077114595391166,0.7491145640299107,0.12372666142106478
-1,oracle_frac,0.1,23.666666666666668,84042.51282051283,0.09999502124944289,8403.871794871795,59403.743589743586,0.03636813315027782,0.3187246055309797,0.17754636934062876,0.992809690078847,0.5837754903602856,0.7324579197888931,1.0,0.7105227615319638,0.8271087543259728,1.0,0.8362734615828756,0.9072762112471577,0.33904157679570734
-1,oracle_frac,0.25,23.666666666666668,84042.51282051283,0.24999369423299309,21010.17948717949,59403.743589743586,0.07584290778109924,0.27474288473193303,0.17529289625651612,0.7737589631417696,0.6609883089549656,0.7073094147571615,0.9671164157430473,0.7663886421364602,0.8535170988082393,1.0,0.8630160328694446,0.9231830240496064,0.3075226335540043
-1,oracle_frac,0.5,23.666666666666668,84042.51282051283,0.49999670192581885,42021.02564102564,59403.743589743586,0.17023810997732516,0.2526769426421981,0.2114575263097616,0.3984479549684404,0.6622436542814445,0.492625772111338,0.690604274568502,0.7797997381897882,0.7263623379635101,0.9687708291512439,0.8794641409935492,0.9205880246017799,0.1838823853866858
-1,oracle_frac,0.75,23.666666666666668,84042.51282051283,0.7499952983016744,63031.53846153846,59403.743589743586,0.3130989112427041,0.24749775203927543,0.2802983316409898,0.2656317400324762,0.6622436542814445,0.37591777114081704,0.46064304285374885,0.7798093618857774,0.5746038895532732,0.8232919130961289,0.882637699064357,0.8486565663237223,0.1309589352424119
-1,oracle_frac,0.9,23.666666666666668,84042.51282051283,0.8999921422973787,75637.71794871795,59403.743589743586,0.4485192615729275,0.24648439361403587,0.3475018275934817,0.221360494345434,0.6622436542814445,0.3291939419142321,0.38387041175754344,0.7798093618857774,0.510649040329954,0.6923532238054894,0.8826799284878004,0.7726228983569989,0.11168512913566356
-1,ror,0.15/16,23.666666666666668,84042.51282051283,0.1765149959782542,14761.615384615385,59403.743589743586,0.3102550295225537,0.5569036628801747,0.4335793462013642,0.3785012079738957,0.3522715592208322,0.36047819974477524,0.567618398504854,0.5174578788587573,0.5382349416563535,0.8190465290214324,0.6970474479397029,0.7507200295578785,0.10552813955373778
-1,ror,0.15/4,23.666666666666668,84042.51282051283,0.9347268563880635,78691.46153846153,59403.743589743586,0.5520814659200795,0.2623293141251012,0.40720539002259026,0.20906702838890626,0.6431245479299934,0.3131750238321781,0.3612250029770521,0.7578975074999208,0.48574728760955876,0.6455218778165867,0.8724981481554362,0.7391316635765067,0.1057729906619496
-1,ror,0.15/8,23.666666666666668,84042.51282051283,0.760056456377792,63871.92307692308,59403.743589743586,0.46145202934187607,0.3145411239302949,0.38799657663608544,0.2368337203734751,0.5920141931656833,0.33574590510950475,0.40244648769628544,0.703717353357801,0.5087302987321888,0.6958846935151657,0.8356389511683102,0.7572689197969545,0.11600453962848722
-1,ror,0.3/16,23.666666666666668,84042.51282051283,0.9694483227300211,81674.61538461539,59403.743589743586,0.5773609824929798,0.25937179944377153,0.4183663909683757,0.20434064376141994,0.6553746343010222,0.30912650087102633,0.353913713328821,0.766473626574807,0.4806695500293567,0.6359986706822864,0.8739575293348164,0.7331060285222778,0.10389940221647578
-1,ror,0.3/32,23.666666666666668,84042.51282051283,0.8844504148794741,74795.35897435897,59403.743589743586,0.5231331958218133,0.29971599491618633,0.4114245953689998,0.21684450724229548,0.6281984513787275,0.3197691406541081,0.3737806510171595,0.7289325848967899,0.4904992572376476,0.6637635251185884,0.8445629838876283,0.7404767468027931,0.1086330921548307
-1,ror,0.3/4,23.666666666666668,84042.51282051283,0.9995652618600468,84012.15384615384,59403.743589743586,0.6041654567444247,0.246215972822084,0.4251907147832543,0.19930177503563679,0.6621983884954731,0.30410273252191894,0.34561436040504406,0.7796500973569392,0.47549137885528425,0.6233128657300385,0.8825456087739454,0.7274742240039335,0.10174274722359722
-1,ror,0.3/8,23.666666666666668,84042.51282051283,0.9950924000573386,83670.89743589744,59403.743589743586,0.599917937789273,0.24756814470493274,0.4237430412471029,0.20007419967505768,0.6615290440514018,0.30493643600835885,0.3469312562169543,0.7780010683408453,0.4764483218539993,0.6253234971713252,0.8815139104982638,0.7285061934127243,0.10208474968789805
-1,sor,0,23.666666666666668,84042.51282051283,0.6640864482091065,55548.743589743586,59403.743589743586,0.4257194082374163,0.36480957446437234,0.3952644913508943,0.25370975265102064,0.5528829991174317,0.3451228713205102,0.42766218325842287,0.6620619636843448,0.5165242912170361,0.7221201100654057,0.7996745499692446,0.7569813079169627,0.12057058540445904
-1,sor,0.5,23.666666666666668,84042.51282051283,0.801054240222842,67152.33333333333,59403.743589743586,0.4775653799787216,0.31816272063486317,0.39786405030679245,0.2299872903453827,0.598981452905206,0.3297910034604933,0.3934287746767793,0.7029492086844373,0.5010964296736642,0.6865480219089571,0.8303491708454016,0.7492542658083032,0.11347635924998013
-1,sor,1.0,23.666666666666668,84042.51282051283,0.877239675016695,73667.02564102564,59403.743589743586,0.516387074419934,0.2944785223483358,0.40543279838413493,0.21807236062393984,0.6241798579337356,0.32071962129317366,0.3752109525877476,0.7288246791385488,0.49184700417772703,0.6646540100250202,0.8490163920809948,0.742869543799611,0.10934293284655994
-1,sor,2,23.666666666666668,84042.51282051283,0.9492594676071843,79832.43589743589,59403.743589743586,0.5624735049254174,0.2700903133498343,0.4162819091376258,0.2074051987756112,0.6481109990063625,0.31178830061766416,0.35865081903689305,0.7572094442645021,0.48315152918830423,0.6424624033389451,0.8678887888797155,0.7352843162625896,0.10518059653434057
-1,support_frac,0.1,23.666666666666668,84042.51282051283,0.09999502124944289,8403.871794871795,59403.743589743586,0.22863014002351215,1.0753550666059184,0.6519926033147153,0.5676912638192001,0.287967686356787,0.37965886734088333,0.7303839702030944,0.3681192232251084,0.48654763046752436,0.8800194956956324,0.49218702041901125,0.6280659654895406,0.13365913348765304
-1,support_frac,0.25,23.666666666666668,84042.51282051283,0.24999369423299309,21010.17948717949,59403.743589743586,0.28724152398836766,0.5423081195337088,0.4147748217610383,0.4049499803233256,0.42656844964387647,0.4122790747781232,0.5974537512583393,0.5377702305531618,0.5624595005887948,0.8373710161602325,0.6970921458161649,0.7573354204001334,0.15022371192403616
-1,support_frac,0.5,23.666666666666668,84042.51282051283,0.49999670192581885,42021.02564102564,59403.743589743586,0.40214929746603373,0.32753249035062504,0.36484089390832936,0.2891261011304504,0.5413215284772307,0.373719179643426,0.4675820621633206,0.6759051497658569,0.5485115673820159,0.7491817091809412,0.8267071026204397,0.7831532180257355,0.1320446925328744
-1,support_frac,0.75,23.666666666666668,84042.51282051283,0.7499952983016744,63031.53846153846,59403.743589743586,0.504668961420143,0.27763713535951395,0.39115304838982845,0.23289261320369897,0.6043280129715405,0.33346898766154365,0.3934402770552832,0.7344589036014543,0.5087100530319622,0.6784649969328356,0.8614289699815298,0.7563564973188399,0.11423613813448401
-1,support_frac,0.9,23.666666666666668,84042.51282051283,0.8999921422973787,75637.71794871795,59403.743589743586,0.5651093096919223,0.2641241244188356,0.41461671705537895,0.21126531442436866,0.6355778356571453,0.3145577838693483,0.36259348305045,0.7540689072066171,0.4859396022740853,0.6430314562818991,0.8700433108287114,0.7362030809490009,0.10638681710328306
-1,support_min,2,23.666666666666668,84042.51282051283,0.5986232786149898,50151.07692307692,59403.743589743586,0.43567301426101995,0.2951074704843445,0.3653902423726822,0.262565292846844,0.574692390103508,0.357887646492056,0.4342187447354516,0.7117346625658975,0.5364667432518582,0.7223372865243233,0.8520575240304089,0.7799906761568607,0.12417884930895938
-1,support_min,3,23.666666666666668,84042.51282051283,0.4277063148467833,35584.61538461538,59403.743589743586,0.3567519432480963,0.3598809077758404,0.35831642551196835,0.31338300058223734,0.5160739560498951,0.38709544505475235,0.4983911619201713,0.644334969399414,0.5594862242267648,0.7795866010132085,0.8036211047812194,0.7896581522868377,0.1374606805722131
-1,support_min,4,23.666666666666668,84042.51282051283,0.3382864137170903,27981.17948717949,59403.743589743586,0.3171317602821521,0.4334853397889982,0.37530855003557523,0.35290011978419933,0.4764855074277013,0.40218830672564093,0.5437774258052007,0.5953371023430447,0.5657154996860043,0.812213432267711,0.752882478938299,0.7793093144722072,0.14466864694842257
-1,support_min,5,23.666666666666668,84042.51282051283,0.2791070264566305,22959.897435897437,59403.743589743586,0.29200114893855156,0.5209454340155613,0.4064732914770564,0.38781209512283515,0.4443822255696169,0.41042260227180793,0.5816179333661929,0.5547582219904706,0.56494335155449,0.8348718364193467,0.7056273637470835,0.7622537868678639,0.14885061370333616
-1,support_min,8,23.666666666666668,84042.51282051283,0.18701813561569547,15196.102564102564,59403.743589743586,0.2551369456550016,0.7326541291453197,0.4938955374001607,0.46331527970779046,0.3801751262950434,0.41270517538453827,0.6542464663069812,0.4740271168409299,0.545765274201737,0.8670800152754603,0.6133292881900854,0.7146521228538131,0.15030640485585434
-1,support_min,12,23.666666666666668,84042.51282051283,0.1299004287713588,10429.76923076923,59403.743589743586,0.23213165270963615,0.9704968283774696,0.6013142405435529,0.535375845923643,0.32433899109152964,0.3977253027295334,0.7122260353110753,0.4054459626635663,0.5116048008221287,0.8825198029247071,0.5290156188353353,0.6563979385280785,0.14376129527898365
-1,tsdf,1.0,23.666666666666668,84042.51282051283,1.3599731751530337,114265.8717948718,59403.743589743586,0.7490924124093911,0.23561772692976943,0.49235506966958026,0.1536406184921632,0.6853635724843585,0.2486825998999921,0.278689484427135,0.7907989166846988,0.408177843039741,0.536132585468307,0.8889155689748285,0.6642807807613895,0.08282619377809039
-1,tsdf,5,23.666666666666668,84042.51282051283,1.0397689638073497,88319.17948717948,59403.743589743586,0.6102920303500714,0.26867610578568796,0.4394840680678797,0.18293268633003026,0.6438495362466791,0.28202808517653605,0.3262034236300544,0.7550897320226635,0.4510992629248534,0.6044622921226119,0.8685152714192191,0.7084901942127749,0.09618220417763379
-1,tsdf,20,23.666666666666668,84042.51282051283,0.49449979709524566,41724.5641025641,59403.743589743586,0.36257674305648285,0.4894848043669475,0.4260307737117152,0.2854353493203738,0.5155548247542231,0.36325305499878263,0.47705761708154354,0.6054756206833005,0.5292208420183017,0.7656874385106875,0.7318127718898148,0.7459528388758696,0.13117740035387643
-1,tsdf,50.0,23.666666666666668,84042.51282051283,0.26839868168625736,22325.384615384617,59403.743589743586,0.2601063587874396,0.8582566660746628,0.5591815124310512,0.3968533066294909,0.40319292327387285,0.3940387879635298,0.6251633205805612,0.4693901399830881,0.5312562742559417,0.8671404257552003,0.576639186588018,0.6883981385126451,0.14728256114753482
-1,union,0,23.666666666666668,84042.51282051283,1.0,84042.51282051283,59403.743589743586,0.6045948985061248,0.24609129909241304,0.4253430987992689,0.19922247917276797,0.6622436542814445,0.30401428022655314,0.3454799919915638,0.7798093618857774,0.47539493479362366,0.6231119701529817,0.8826799284878004,0.7273840963252491,0.10170705697987846
4,cluster,5,4.0,29268.358974358973,0.9746685686318967,28506.5641025641,34478.53846153846,0.47332157267684183,0.2399202799792078,0.35662092632802483,0.28569360115290376,0.5676228597591927,0.3781110404643634,0.4477233050149813,0.736249632461566,0.5539221202824194,0.702809998910155,0.8882910446789537,0.7816850510704454,0.12511964279437043
4,cluster,20,4.0,29268.358974358973,0.9566329794156633,27957.153846153848,34478.53846153846,0.4555917286057924,0.24602555918370284,0.3508086438947476,0.2898971711297647,0.565991349738566,0.38156464513695465,0.453614020134754,0.7325244951033486,0.557567338851658,0.7100293245900304,0.8836232344841773,0.7845108025672131,0.12642739544778672
4,cluster,100,4.0,29268.358974358973,0.9501028033830292,27761.897435897437,34478.53846153846,0.44752465063564145,0.2497594150838424,0.3486420328597419,0.2914368326104066,0.565419901863848,0.3828106541527884,0.45582192436500224,0.7310179378582538,0.5588586632996198,0.7129755705541426,0.8812343058942358,0.785428606301144,0.1269038665218445
4,cluster,500,4.0,29268.358974358973,0.9496141880393484,27746.4358974359,34478.53846153846,0.4466134473123044,0.24976342060132217,0.34818843395681326,0.2915717770106123,0.565419901863848,0.3829349863954404,0.45602663565373247,0.7310151809810511,0.559024819376791,0.7132770342049436,0.8812294813591314,0.7856285768093971,0.12694804481064606
