method,N_req,frac,N,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
A_point,-1,0.02,23.666666666666668,76640.7435897436,1532.3589743589744,1532.3589743589744,59403.743589743586,0.20390868163179127,1.9625680201083195,1.0832383508700554,0.7849424515851033,0.09521501172021161,0.16918835738138505,0.84276434355737,0.1263124920675232,0.21888609418381294,0.8698175407233757,0.20952905519786413,0.3355194855026762,0.05019407329695685
A_point,-1,0.05,23.666666666666668,76640.7435897436,3831.5384615384614,3831.5384615384614,59403.743589743586,0.20539378301438746,1.5024898500691017,0.8539418165417447,0.6992177093151118,0.18489653851488116,0.29083219742086935,0.8110004242473824,0.23854444589598367,0.3665609912516532,0.8833022599362474,0.34748328158144154,0.49488369221989903,0.09600967985431104
A_point,-1,0.1,23.666666666666668,76640.7435897436,7663.5641025641025,7663.5641025641025,59403.743589743586,0.21692803395377647,1.1088281817774481,0.6628781078656123,0.5948647638846999,0.27850148591575863,0.3766395548247298,0.7568798278529723,0.360589334845848,0.48540944893752824,0.8898834497823458,0.4856037554726947,0.6246385861292377,0.13282243582377967
A_point,-1,0.25,23.666666666666668,76640.7435897436,19159.82051282051,19159.82051282051,59403.743589743586,0.25894023126843546,0.5283561134477422,0.39364817235808885,0.44952924718075254,0.4289595999618758,0.4352111634223142,0.650458663848099,0.5458547399914058,0.5903215132523426,0.8648972821459119,0.7007185503119595,0.7712999230316259,0.15994731026551523
A_point,-1,0.5,23.666666666666668,76640.7435897436,38320.07692307692,38320.07692307692,59403.743589743586,0.3662493877282477,0.3234297338657863,0.344839560797017,0.32612489111286275,0.5495192523029632,0.4058170319178415,0.5219633440525878,0.6879867280859094,0.5902280447379666,0.7884189761990447,0.829122792103368,0.8062983515959,0.1453931481620279
A_point,-1,1.0,23.666666666666668,76640.7435897436,76640.7435897436,76640.7435897436,59403.743589743586,0.5646359442861818,0.2611282379417207,0.4128820911139513,0.22603022705690387,0.6633699806783862,0.33449765036379464,0.38999883243951716,0.7724532035405679,0.514616147328285,0.6691959649032534,0.8676931617290355,0.7527794527151989,0.11421622680523254
A_point,1,0.02,1.0,9476.871794871795,188.94871794871796,188.94871794871796,14955.076923076924,0.21691954667236638,1.7841114942027378,1.0005155204375522,0.7590704439343886,0.04731652674651532,0.08885450208092231,0.8094727121347915,0.07622170696707088,0.13862726696492972,0.8507005271762899,0.17242793174709214,0.2838073963965915,0.012363435401054657
A_point,1,0.05,1.0,9476.871794871795,473.35897435897436,473.35897435897436,14955.076923076924,0.1930364606435131,1.488943271193283,0.8409898659183981,0.7441558070486276,0.11010332140752158,0.19086343282232343,0.8240105346625259,0.16450494459171097,0.27230312467992474,0.8860914381080705,0.2948915713724503,0.43876451725457116,0.03023568033772705
A_point,1,0.1,1.0,9476.871794871795,947.2307692307693,947.2307692307693,14955.076923076924,0.19303073903660614,1.1555779223025981,0.6743043306696023,0.6878858163119475,0.19209820299598054,0.29839640544652934,0.7997214070940603,0.27991480409908254,0.4121001011956297,0.896230231520891,0.4420840794013205,0.5890007471092472,0.05461687331577476
A_point,1,0.25,1.0,9476.871794871795,2368.948717948718,2368.948717948718,14955.076923076924,0.22218716841178038,0.622813051352704,0.4225001098822423,0.579534904863011,0.33276092875407526,0.42041846433021407,0.7288504877512026,0.4844956054294708,0.5795394737344741,0.8828226881904359,0.6959937541537832,0.7747854282436523,0.09782208913909332
A_point,1,0.5,1.0,9476.871794871795,4738.282051282052,4738.282051282052,14955.076923076924,0.2772075455870189,0.3916749390180472,0.334441242302533,0.4797416450711391,0.422297273084364,0.44648677811269993,0.6480861826131034,0.5879864463718673,0.6138596335382811,0.8394825760528744,0.7912629312597034,0.8118215720875112,0.1248249528299263
A_point,1,1.0,1.0,9476.871794871795,9476.871794871795,9476.871794871795,14955.076923076924,0.41092487549602497,0.3226358295130516,0.3667803525045383,0.3451754071141418,0.4680885149137262,0.39442401448801095,0.5151590309038483,0.6322639658902494,0.5644132529277517,0.747247705321937,0.8323401332487353,0.7847837166479044,0.12026553575157849
A_point,2,0.02,2.0,16246.948717948719,324.5128205128205,324.5128205128205,24069.0,0.16512183705632838,1.5570831559923184,0.8611024965243234,0.7186938135112557,0.048904019310439105,0.0912912681755689,0.8436160846218484,0.08732511925223842,0.15759221887556205,0.9019979375457827,0.19921368510324727,0.3245868737734676,0.014855820559220495
A_point,2,0.05,2.0,16246.948717948719,811.9230769230769,811.9230769230769,24069.0,0.16385688194878645,1.293855916748417,0.7288563993486017,0.7096489213918584,0.1130918950945464,0.19393185348335806,0.8385447798046616,0.18078000672520508,0.29556048811645586,0.9093595751983963,0.3279779862357153,0.4801069392550013,0.0364978147984918
A_point,2,0.1,2.0,16246.948717948719,1624.3076923076924,1624.3076923076924,24069.0,0.17109464337722557,0.9983277406481309,0.5847111920126782,0.6771394191879215,0.20287133683958364,0.30987325602142324,0.8172858780260889,0.3062909661649739,0.4428600425389429,0.9080926921571455,0.4830530589357318,0.6284949429243795,0.06694304229589673
A_point,2,0.25,2.0,16246.948717948719,4061.3846153846152,4061.3846153846152,24069.0,0.2146965249769581,0.5039138176887292,0.3593051713328437,0.5697041235424342,0.35705418189398863,0.43601356915761214,0.7366567023434308,0.5277880243839664,0.6115451200291891,0.884012402099581,0.7431693635307808,0.8049911893480323,0.11722382265456058
A_point,2,0.5,2.0,16246.948717948719,8123.2307692307695,8123.2307692307695,24069.0,0.2820360295325425,0.3118767776846288,0.2969564036085856,0.46603581702903185,0.45721830130030966,0.4582183261035557,0.6474920941616834,0.643137669443988,0.6416636774632201,0.8420605611650512,0.842365849896149,0.8397416474021008,0.14195546537776657
A_point,2,1.0,2.0,16246.948717948719,16246.948717948719,16246.948717948719,24069.0,0.44326054536452003,0.24438452524750373,0.34382253530601187,0.33618655452174667,0.52040037561792,0.40527738603979274,0.5126767836093962,0.7082884234256275,0.5909862202116716,0.7480690913505464,0.8879849689230107,0.8085154848056272,0.13166612219849122
A_point,4,0.02,4.0,28508.5641025641,569.6666666666666,569.6666666666666,34478.53846153846,0.20568084551339977,1.665179166520561,0.9354300060169806,0.7657768107001213,0.06678927020163819,0.12264027714594178,0.8366226955023598,0.10628779732643388,0.18813225020887478,0.8671967458219247,0.21682489208152494,0.34491187545600027,0.02450740307395608
