scene,seq,n_steps,N_req,N,seed,span_m,n_ref_subset,n_ref_fixed,variant,ref,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,kept_frac_vox
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,base,subset,1.0,6550,14163,0.2129007266622601,0.13164320762027612,0.1722719671412681,0.5070229007633588,0.5585680999788181,0.5315488177506876,0.7534351145038168,0.8045611805408459,0.7781592897417525,0.8900763358778626,0.9903975146508508,0.937560913867662,0.17891710589362722,
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,base,subset,0.25,1637,14163,0.14025182022915267,0.5703984856359776,0.35532515293256517,0.6737935247403788,0.33347454635317375,0.44614337820628647,0.8320097739767868,0.5212172562310246,0.6409240162502223,0.9291386682956628,0.7330367859916684,0.8195197701798029,0.11062678490906358,
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,base,fixed,1.0,6550,29308,0.20146144110906367,0.15186867513347366,0.17666505812126865,0.5503816793893129,0.47130476320458575,0.5077830071193927,0.7758778625954198,0.7555957417769892,0.7656024987206668,0.8932824427480917,0.9753992084072608,0.9325365687642823,0.17051252760642754,
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,base,fixed,0.25,1637,29308,0.1361425509706742,1.1244930851662422,0.6303178180684582,0.6951740989615149,0.19155179473181383,0.3003450045932759,0.8497251069028711,0.3205609389927665,0.46550786298754865,0.9297495418448382,0.501706018834448,0.6517295457370264,0.0835146616930888,
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra0,subset,1.0,6550,14163,0.2129007266622601,0.13164320762027612,0.1722719671412681,0.5070229007633588,0.5585680999788181,0.5315488177506876,0.7534351145038168,0.8045611805408459,0.7781592897417525,0.8900763358778626,0.9903975146508508,0.937560913867662,0.17891710589362722,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra0,subset,0.25,1637,14163,0.14025182022915267,0.5703984856359776,0.35532515293256517,0.6737935247403788,0.33347454635317375,0.44614337820628647,0.8320097739767868,0.5212172562310246,0.6409240162502223,0.9291386682956628,0.7330367859916684,0.8195197701798029,0.11062678490906358,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra0,fixed,1.0,6550,29308,0.20146144110906367,0.15186867513347366,0.17666505812126865,0.5503816793893129,0.47130476320458575,0.5077830071193927,0.7758778625954198,0.7555957417769892,0.7656024987206668,0.8932824427480917,0.9753992084072608,0.9325365687642823,0.17051252760642754,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra0,fixed,0.25,1637,29308,0.1361425509706742,1.1244930851662422,0.6303178180684582,0.6951740989615149,0.19155179473181383,0.3003450045932759,0.8497251069028711,0.3205609389927665,0.46550786298754865,0.9297495418448382,0.501706018834448,0.6517295457370264,0.0835146616930888,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,support_match0,subset,1.0,6550,14163,0.21290072666226006,0.13164320762027612,0.17227196714126808,0.5070229007633588,0.5585680999788181,0.5315488177506876,0.7534351145038168,0.8045611805408459,0.7781592897417525,0.8900763358778626,0.9903975146508508,0.937560913867662,0.17891710589362722,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,support_match0,subset,0.25,1637,14163,0.13603448013480868,0.5863663852351625,0.3612004326849856,0.6841783750763591,0.3326272682341312,0.44763005670499356,0.8448381185094685,0.5153569159076467,0.6401922609324004,0.9328039095907147,0.7278119042575726,0.817655455375726,0.11062678490906358,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,support_match0,fixed,1.0,6550,29308,0.20146144110906367,0.15186867513347366,0.17666505812126865,0.5503816793893129,0.47130476320458575,0.5077830071193927,0.7758778625954198,0.7555957417769892,0.7656024987206668,0.8932824427480917,0.9753992084072608,0.9325365687642823,0.17051252760642754,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,support_match0,fixed,0.25,1637,29308,0.1319424488967594,1.15795039333836,0.6449464211175596,0.7061698228466707,0.19127883171830218,0.30102076151489177,0.8625534514355528,0.31636413266002456,0.4629347771509636,0.93341478313989,0.4984645830489969,0.6498790633850342,0.08373924759042388,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra1,subset,1.0,6550,14163,0.2129007266622601,0.13164320762027612,0.1722719671412681,0.5070229007633588,0.5585680999788181,0.5315488177506876,0.7534351145038168,0.8045611805408459,0.7781592897417525,0.8900763358778626,0.9903975146508508,0.937560913867662,0.17891710589362722,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra1,subset,0.25,1637,14163,0.14025182022915267,0.5703984856359776,0.35532515293256517,0.6737935247403788,0.33347454635317375,0.44614337820628647,0.8320097739767868,0.5212172562310246,0.6409240162502223,0.9291386682956628,0.7330367859916684,0.8195197701798029,0.11062678490906358,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra1,fixed,1.0,6550,29308,0.20146144110906367,0.15186867513347366,0.17666505812126865,0.5503816793893129,0.47130476320458575,0.5077830071193927,0.7758778625954198,0.7555957417769892,0.7656024987206668,0.8932824427480917,0.9753992084072608,0.9325365687642823,0.17051252760642754,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra1,fixed,0.25,1637,29308,0.1361425509706742,1.1244930851662422,0.6303178180684582,0.6951740989615149,0.19155179473181383,0.3003450045932759,0.8497251069028711,0.3205609389927665,0.46550786298754865,0.9297495418448382,0.501706018834448,0.6517295457370264,0.0835146616930888,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,support_match1,subset,1.0,6550,14163,0.21290072666226006,0.13164320762027612,0.17227196714126808,0.5070229007633588,0.5585680999788181,0.5315488177506876,0.7534351145038168,0.8045611805408459,0.7781592897417525,0.8900763358778626,0.9903975146508508,0.937560913867662,0.17891710589362722,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,support_match1,subset,0.25,1637,14163,0.13603448013480868,0.5863663852351625,0.3612004326849856,0.6841783750763591,0.3326272682341312,0.44763005670499356,0.8448381185094685,0.5153569159076467,0.6401922609324004,0.9328039095907147,0.7278119042575726,0.817655455375726,0.11062678490906358,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,support_match1,fixed,1.0,6550,29308,0.20146144110906367,0.15186867513347366,0.17666505812126865,0.5503816793893129,0.47130476320458575,0.5077830071193927,0.7758778625954198,0.7555957417769892,0.7656024987206668,0.8932824427480917,0.9753992084072608,0.9325365687642823,0.17051252760642754,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,support_match1,fixed,0.25,1637,29308,0.1319424488967594,1.15795039333836,0.6449464211175596,0.7061698228466707,0.19127883171830218,0.30102076151489177,0.8625534514355528,0.31636413266002456,0.4629347771509636,0.93341478313989,0.4984645830489969,0.6498790633850342,0.08373924759042388,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra2,subset,1.0,6550,14163,0.2129007266622601,0.13164320762027612,0.1722719671412681,0.5070229007633588,0.5585680999788181,0.5315488177506876,0.7534351145038168,0.8045611805408459,0.7781592897417525,0.8900763358778626,0.9903975146508508,0.937560913867662,0.17891710589362722,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra2,subset,0.25,1637,14163,0.14025182022915267,0.5703984856359776,0.35532515293256517,0.6737935247403788,0.33347454635317375,0.44614337820628647,0.8320097739767868,0.5212172562310246,0.6409240162502223,0.9291386682956628,0.7330367859916684,0.8195197701798029,0.11062678490906358,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra2,fixed,1.0,6550,29308,0.20146144110906367,0.15186867513347366,0.17666505812126865,0.5503816793893129,0.47130476320458575,0.5077830071193927,0.7758778625954198,0.7555957417769892,0.7656024987206668,0.8932824427480917,0.9753992084072608,0.9325365687642823,0.17051252760642754,1.0
frl_apartment_5,seq_0011,18,1,1,0,0.0,14163,29308,contra2,fixed,0.25,1637,29308,0.1361425509706742,1.1244930851662422,0.6303178180684582,0.6951740989615149,0.19155179473181383,0.3003450045932759,0.8497251069028711,0.3205609389927665,0.46550786298754865,0.9297495418448382,0.501706018834448,0.6517295457370264,0.0835146616930888,1.0
