| run | directory | commit | temperature | band | frac chosen on |
|---|---|---|---|---|---|
| r8_v3 | results/E30_stage_d/r8_v3 | b5611cd | 1.302 | interp | r8_v3_val |
| r8_v3fixed | results/E30_stage_d/r8_v3fixed | 5fa1e22 | 1.302 | interp | r8_v3fixed_val |

f1@0.2, test; columns = view count; one sub-column per run in the order given

| method | N | r8_v3 | r8_v3fixed |
|---|---|---|---|
| A_point | 1 | 0.614 | 0.468 |
| A_point | 2 | 0.642 | 0.534 |
| A_point | 4 | 0.651 | 0.589 |
| A_point | 8 | 0.631 | 0.603 |
| A_point | 16 | 0.603 | 0.596 |
| A_point | all | 0.590 | 0.590 |
| B_argmax | 1 | 0.604 | 0.465 |
| B_argmax | 2 | 0.630 | 0.531 |
| B_argmax | 4 | 0.636 | 0.575 |
| B_argmax | 8 | 0.614 | 0.585 |
| B_argmax | 16 | 0.586 | 0.579 |
| B_argmax | all | 0.575 | 0.575 |
| C_on_B | 1 | 0.589 | 0.465 |
| C_on_B | 2 | 0.619 | 0.531 |
| C_on_B | 4 | 0.621 | 0.551 |
| C_on_B | 8 | 0.592 | 0.550 |
| C_on_B | 16 | 0.564 | 0.553 |
| C_on_B | all | 0.549 | 0.549 |
| C_grid | 1 | 0.612 | 0.492 |
| C_grid | 2 | 0.632 | 0.539 |
| C_grid | 4 | 0.613 | 0.537 |
| C_grid | 8 | 0.579 | 0.537 |
| C_grid | 16 | 0.549 | 0.537 |
| C_grid | all | 0.534 | 0.534 |
| D_conf_sum | 1 | 0.613 | 0.465 |
| D_conf_sum | 2 | 0.638 | 0.531 |
| D_conf_sum | 4 | 0.642 | 0.572 |
| D_conf_sum | 8 | 0.618 | 0.584 |
| D_conf_sum | 16 | 0.589 | 0.581 |
| D_conf_sum | all | 0.573 | 0.573 |
| E_conf_filter50 | 1 | 0.435 | 0.207 |
| E_conf_filter50 | 2 | 0.463 | 0.303 |
| E_conf_filter50 | 4 | 0.485 | 0.374 |
| E_conf_filter50 | 8 | 0.455 | 0.395 |
| E_conf_filter50 | 16 | 0.426 | 0.409 |
| E_conf_filter50 | all | 0.412 | 0.412 |
| B_argmax_matchE50 | 1 | 0.523 | 0.269 |
| B_argmax_matchE50 | 2 | 0.548 | 0.372 |
| B_argmax_matchE50 | 4 | 0.565 | 0.445 |
| B_argmax_matchE50 | 8 | 0.532 | 0.468 |
| B_argmax_matchE50 | 16 | 0.499 | 0.481 |
| B_argmax_matchE50 | all | 0.485 | 0.485 |
| E_conf_filter75 | 1 | 0.277 | 0.110 |
| E_conf_filter75 | 2 | 0.299 | 0.174 |
| E_conf_filter75 | 4 | 0.328 | 0.235 |
| E_conf_filter75 | 8 | 0.303 | 0.253 |
| E_conf_filter75 | 16 | 0.280 | 0.266 |
| E_conf_filter75 | all | 0.271 | 0.271 |
| B_argmax_matchE75 | 1 | 0.330 | 0.134 |
| B_argmax_matchE75 | 2 | 0.361 | 0.213 |
| B_argmax_matchE75 | 4 | 0.399 | 0.291 |
| B_argmax_matchE75 | 8 | 0.369 | 0.311 |
| B_argmax_matchE75 | 16 | 0.341 | 0.325 |
| B_argmax_matchE75 | all | 0.329 | 0.329 |
| oracle | 1 | 0.745 | 0.560 |
| oracle | 2 | 0.777 | 0.681 |
| oracle | 4 | 0.837 | 0.754 |
| oracle | 8 | 0.855 | 0.813 |
| oracle | 16 | 0.855 | 0.842 |
| oracle | all | 0.848 | 0.848 |
