scene,ranking,N_req,frac,n_steps,N_req,N,seed,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,oracle,-1,0.1,27.416666666666668,-1.0,27.416666666666668,0.0,0.10000000000000002,10260.75,66284.75,0.04148765167727871,0.5590067260530526,0.3002471888651657,0.9766314927562533,0.5369088706914262,0.6919561808507795,1.0,0.6246860666719843,0.7662392074711776,1.0,0.7250243518223919,0.8372545971311608,0.312569881981738
apartment_2,oracle,-1,0.25,27.416666666666668,-1.0,27.416666666666668,0.0,0.25,25652.5,66284.75,0.09956740885967606,0.5008898112162351,0.3002286100379556,0.603679595525267,0.5860494378096553,0.5900889023014251,0.9018004246915162,0.672315966059091,0.7693043679852923,1.0,0.7532787494977214,0.8560059137802171,0.24241846114336252
apartment_2,oracle,-1,0.5,27.416666666666668,-1.0,27.416666666666668,0.0,0.5,51305.666666666664,66284.75,0.2401683313332856,0.4717318379151647,0.35595008462422517,0.3066284393357395,0.586364830845035,0.3988495194123794,0.53325524221751,0.6762782783777731,0.5911080163979516,0.8999768188495381,0.7641284776010658,0.8249530982201447,0.146888204381124
apartment_2,oracle,-1,0.75,27.416666666666668,-1.0,27.416666666666668,0.0,0.75,76958.58333333333,66284.75,0.4680067707665232,0.4673326595018647,0.4676697151341939,0.20441916256078319,0.586364830845035,0.30066528476882276,0.3555038319644303,0.6762782783777731,0.4622428594243433,0.6614210314545034,0.7649586790575938,0.7057890011012956,0.10533053578894351
apartment_2,oracle,-1,0.9,27.416666666666668,-1.0,27.416666666666668,0.0,0.9,92350.16666666667,66284.75,0.693717045441841,0.46682079647522706,0.580268920958534,0.17034968239332285,0.586364830845035,0.2620184777333053,0.2962538333952846,0.6762782783777731,0.4088560484270163,0.5559613990477515,0.7650143366520726,0.639994078534987,0.09004971839996473
apartment_2,oracle,-1,1.0,27.416666666666668,-1.0,27.416666666666668,0.0,1.0,102611.83333333333,66284.75,0.9381435408137229,0.4666990873127872,0.702421314063255,0.15331364654598648,0.586364830845035,0.24134651744625246,0.266626612972327,0.6762782783777731,0.3796434449412846,0.5003619115675683,0.7650143366520726,0.6013656113821303,0.08210874326027684
apartment_2,oracle,1,0.1,27.416666666666668,1.0,1.0,1.0,0.1,889.4722222222222,13758.666666666666,0.03128561220041767,0.7521450773271741,0.3917153447637958,1.0,0.24351484375046198,0.38917126359892473,1.0,0.3554505382667054,0.5220193596193079,1.0,0.5780605157826397,0.7303709689542038,0.0901164277640652
apartment_2,oracle,1,0.25,27.416666666666668,1.0,1.0,1.0,0.25,2224.3055555555557,13758.666666666666,0.05457267173707314,0.6300502411767156,0.34231145645689437,0.9383170932751229,0.40297686049577447,0.5575500257308655,0.9816323767889139,0.5065717128048652,0.6647971960920418,1.0,0.6714696345372411,0.8015961077858109,0.14639036756093737
apartment_2,oracle,1,0.5,27.416666666666668,1.0,1.0,1.0,0.5,4449.25,13758.666666666666,0.13211699735136176,0.5572882417478391,0.34470261954960046,0.5859301886617515,0.4437593177040745,0.4959559572539537,0.8269305950735215,0.573406945444572,0.668681660626462,0.9640819428228947,0.7239151941336209,0.8235335969816135,0.1281637408367822
apartment_2,oracle,1,0.75,27.416666666666668,1.0,1.0,1.0,0.75,6673.833333333333,13758.666666666666,0.2878224631570153,0.5335508826438198,0.4106866729004175,0.3906242096082813,0.4437593177040745,0.40793592109595145,0.5703243462530866,0.5768162509401938,0.5640903538718665,0.829273587947221,0.7379007774221438,0.7739960830003842,0.10529650767903559
