seed,ranking,N_req,frac,n_steps,N_req,N,seed,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
0,oracle,-1,0.1,23.666666666666668,-1.0,23.666666666666668,0.0,0.1,8403.871794871795,59403.743589743586,0.03636813315027782,0.3187246055309797,0.17754636934062876,0.992809690078847,0.5837754903602856,0.7324579197888931,1.0,0.7105227615319638,0.8271087543259728,1.0,0.8362734615828756,0.9072762112471577,0.33904157679570734
0,oracle,-1,0.25,23.666666666666668,-1.0,23.666666666666668,0.0,0.25,21010.17948717949,59403.743589743586,0.07584290778109924,0.274742884731933,0.17529289625651612,0.7737589631417696,0.6609883089549656,0.7073094147571615,0.9671164157430473,0.7663886421364602,0.8535170988082393,1.0,0.8630160328694446,0.9231830240496064,0.3075226335540043
0,oracle,-1,0.5,23.666666666666668,-1.0,23.666666666666668,0.0,0.5,42021.02564102564,59403.743589743586,0.17023810997732516,0.2526769426421981,0.2114575263097616,0.3984479549684404,0.6622436542814445,0.492625772111338,0.690604274568502,0.7797997381897882,0.7263623379635101,0.9687708291512439,0.8794641409935492,0.9205880246017799,0.1838823853866858
0,oracle,-1,0.75,23.666666666666668,-1.0,23.666666666666668,0.0,0.75,63031.53846153846,59403.743589743586,0.3130989112427041,0.24749775203927543,0.2802983316409898,0.2656317400324762,0.6622436542814445,0.37591777114081704,0.4606430428537489,0.7798093618857774,0.5746038895532732,0.8232919130961289,0.882637699064357,0.8486565663237223,0.1309589352424119
0,oracle,-1,0.9,23.666666666666668,-1.0,23.666666666666668,0.0,0.9,75637.71794871795,59403.743589743586,0.4485192615729275,0.24648439361403587,0.3475018275934817,0.221360494345434,0.6622436542814445,0.3291939419142321,0.38387041175754344,0.7798093618857774,0.510649040329954,0.6923532238054894,0.8826799284878004,0.7726228983569989,0.11168512913566356
0,oracle,-1,1.0,23.666666666666668,-1.0,23.666666666666668,0.0,1.0,84042.51282051283,59403.743589743586,0.6045948985061247,0.24609129909241304,0.4253430987992689,0.19922247917276797,0.6622436542814445,0.30401428022655314,0.34547999199156376,0.7798093618857774,0.47539493479362366,0.6231119701529817,0.8826799284878004,0.7273840963252491,0.10170705697987846
0,oracle,1,0.1,23.666666666666668,1.0,1.0,0.0,0.1,933.5897435897435,14955.076923076924,0.02749042232980217,0.5667338524048003,0.2971121373673013,1.0,0.244322136770298,0.39176299793853747,1.0,0.37411144238746236,0.5429231188171577,1.0,0.6285025455815784,0.7691871820179375,0.09906240196785174
0,oracle,1,0.25,23.666666666666668,1.0,1.0,0.0,0.25,2334.74358974359,14955.076923076924,0.04593495963220134,0.47374336937920053,0.25983916450570094,0.9634656294615618,0.3900467841831996,0.5538562312384773,0.9992402066637874,0.5007310621964246,0.6649755345866782,1.0,0.7034353983794441,0.8235634550787639,0.1772329767322143
0,oracle,1,0.5,23.666666666666668,1.0,1.0,0.0,0.5,4670.0,14955.076923076924,0.09809786022406235,0.39790808901437547,0.2480029746192189,0.6374891120793144,0.43560137717410513,0.5142944914259749,0.890349883759481,0.5812048493161068,0.7011008841070068,0.998780331749764,0.7686356693216636,0.8664710355950053,0.16195473920542083
0,oracle,1,0.75,23.666666666666668,1.0,1.0,0.0,0.75,7005.0,14955.076923076924,0.1990477379456074,0.36946736512342443,0.28425755153451593,0.42499168180364844,0.43560137717410513,0.42743472272582694,0.6326552267905181,0.5883042966867865,0.6065714297794377,0.9129794146150332,0.7944174746132467,0.8479052568836937,0.1330952508563454
0,oracle,1,0.9,23.666666666666668,1.0,1.0,0.0,0.9,8406.0,14955.076923076924,0.3065799584324352,0.3651829805475751,0.33588146949000514,0.3541589940932252,0.43560137717410513,0.3881724343214021,0.5272118998719798,0.5883042966867865,0.5532648489490423,0.7942454099749043,0.7968493802022965,0.7930510706055726,0.12025958505843935
0,oracle,1,1.0,23.666666666666668,1.0,1.0,0.0,1.0,9340.461538461539,14955.076923076924,0.43391624355961783,0.3646416646202884,0.3992789540899531,0.3187270944630735,0.43560137717410513,0.3657804862055722,0.4744665984447868,0.5883042966867865,0.5226495057026553,0.7147992470697547,0.7968493802022965,0.7512406435608023,0.11299674142197294
0,oracle,2,0.1,23.666666666666668,2.0,2.0,0.0,0.1,1642.1538461538462,24069.0,0.028139224943422372,0.43232544983121446,0.2302323373873184,1.0,0.297211016419357,0.4567619765352941,1.0,0.4552663951730972,0.6235853157090554,1.0,0.7226496602445169,0.8369622385355356,0.12704929814227914
0,oracle,2,0.25,23.666666666666668,2.0,2.0,0.0,0.25,4106.153846153846,24069.0,0.04744342767792186,0.35019679122230774,0.1988201094501148,0.9554778650940609,0.4479165870998726,0.6076552666469693,1.0,0.5857033562713534,0.7366801067066908,1.0,0.79205445223289,0.8825029190008351,0.21442254986548412
0,oracle,2,0.5,23.666666666666668,2.0,2.0,0.0,0.5,8212.641025641025,24069.0,0.10401773073578549,0.2908451855566266,0.19743145814620602,0.618966468132088,0.48695614442685026,0.5400993255402083,0.881093158199204,0.663920289903224,0.7534296230384259,0.9951827457055199,0.849091168211402,0.9151630298745577,0.18204200938676893
0,oracle,2,0.75,23.666666666666668,2.0,2.0,0.0,0.75,12318.923076923076,24069.0,0.21274106337091828,0.27157002588729806,0.24215554462910815,0.41264595965493583,0.48695614442685026,0.442683429278584,0.628842608827862,0.6712186477777442,0.6447606877006327,0.9093022542695365,0.8700792111106553,0.8862703384100444,0.1453494189931383
0,oracle,2,0.9,23.666666666666668,2.0,2.0,0.0,0.9,14782.692307692309,24069.0,0.3299209009735968,0.26877789146738806,0.2993493962204924,0.3438727398142121,0.48695614442685026,0.39954852591435785,0.5240371434803871,0.6712186477777442,0.5845002943868821,0.794942219063492,0.8714113259233451,0.8271883685844486,0.12968889596047262
0,oracle,2,1.0,23.666666666666668,2.0,2.0,0.0,1.0,16425.69230769231,24069.0,0.474836352296078,0.2682879291418964,0.3715621407189872,0.3094754067105722,0.48695614442685026,0.37519296854658396,0.4716181648012241,0.6712186477777442,0.5502344637153006,0.7154255279764341,0.8714113259233451,0.7817937303315562,0.12099998753462402
0,oracle,4,0.1,23.666666666666668,4.0,4.0,0.0,0.1,2926.3333333333335,34478.53846153846,0.029136574721791764,0.3596444340430101,0.19439050438240094,1.0,0.40056359326030094,0.5708293587749064,1.0,0.5784117746685629,0.731187875125681,1.0,0.8009133914589258,0.8877084899085239,0.178238515165592
0,oracle,4,0.25,23.666666666666668,4.0,4.0,0.0,0.25,7316.74358974359,34478.53846153846,0.051351107618237565,0.2913231161792149,0.17133711189872622,0.9277379177919911,0.5473771408019945,0.6871617769970171,1.0,0.6886597320066019,0.8142519908661553,1.0,0.8460176168307674,0.9153835101825784,0.26645461493389494
0,oracle,4,0.5,23.666666666666668,4.0,4.0,0.0,0.5,14633.97435897436,34478.53846153846,0.1159051294495566,0.24924639644046045,0.18257576294500852,0.559782854346679,0.5700131566366741,0.5611711297800315,0.8497649163121077,0.7403093469925042,0.7876474284474998,0.9932308655635368,0.8813803219040082,0.9330950088519975,0.19903828389445585
0,oracle,4,0.75,23.666666666666668,4.0,4.0,0.0,0.75,21950.923076923078,34478.53846153846,0.2301290407355386,0.23730491718539254,0.23371697896046556,0.3731891113681876,0.5700131566366741,0.44828285717013855,0.5859104641790521,0.7420351734423273,0.6508044274516325,0.8940587660221879,0.8914782866932958,0.8901771118427495,0.15221732867811558
0,oracle,4,0.9,23.666666666666668,4.0,4.0,0.0,0.9,26341.102564102563,34478.53846153846,0.3508775654213328,0.23578796197515373,0.2933327636982433,0.3109904136012021,0.5700131566366741,0.400063528888924,0.48825801758354626,0.7420351734423273,0.5855007359887523,0.770048113491175,0.8918209094968618,0.8228375691918101,0.13340484592672164
0,oracle,4,1.0,23.666666666666668,4.0,4.0,0.0,1.0,29268.358974358973,34478.53846153846,0.49862093534539287,0.23560129130390728,0.36711111332465013,0.27988653414877823,0.5700131566366741,0.373305144157152,0.4394246421837503,0.7420351734423273,0.5488063892954546,0.6930313700469183,0.8918209094968618,0.7765713226361032,0.1232516611779204
0,oracle,8,0.1,23.666666666666668,8.0,8.0,0.0,0.1,4655.307692307692,44439.41025641026,0.031527757895896666,0.3326353592457412,0.18208155857081895,1.0,0.48666679130782053,0.6536047379972554,1.0,0.6515707538811683,0.7871705939031022,1.0,0.8247691685650768,0.9018687553593875,0.23988063006117075
0,oracle,8,0.25,23.666666666666668,8.0,8.0,0.0,0.25,11639.076923076924,44439.41025641026,0.059114024989861506,0.27683555549187483,0.16797479024086817,0.8800089439973857,0.6086235699120537,0.7174511266912965,0.996509647654245,0.7369816616663645,0.8456536896243296,1.0,0.8593471139536684,0.922550484401418,0.2975945802404888
0,oracle,8,0.5,23.666666666666668,8.0,8.0,0.0,0.5,23278.69230769231,44439.41025641026,0.13449469428803068,0.24927299526836352,0.19188384477819712,0.4900029434253245,0.6171546857434377,0.5425488184875353,0.7900207148794366,0.7658068189759987,0.7734211273803414,0.9860973698838494,0.883237810102267,0.9307365017151088,0.19837218405618834
0,oracle,8,0.75,23.666666666666668,8.0,8.0,0.0,0.75,34918.02564102564,44439.41025641026,0.257267738306321,0.24256312322252396,0.24991543076442246,0.3266689926923371,0.6171546857434377,0.4245521490943109,0.53774685481271,0.7665414501552502,0.6277726878867846,0.8737088797017848,0.8894131515124423,0.8788811979705929,0.14651608262126894
0,oracle,8,0.9,23.666666666666668,8.0,8.0,0.0,0.9,41901.61538461538,44439.41025641026,0.38096199281862864,0.24168385323672886,0.3113229230276788,0.2722239054344546,0.6171546857434377,0.3756011914890299,0.44812198686997107,0.7665414501552502,0.561905135630182,0.7465870369955061,0.8895919197136277,0.8084883814317454,0.1266615825403002
0,oracle,8,1.0,23.666666666666668,8.0,8.0,0.0,1.0,46557.846153846156,44439.41025641026,0.5292520163551209,0.24155503250443125,0.3854035244297761,0.24499863218316023,0.6171546857434377,0.3488005429045878,0.4033050638818301,0.7665414501552502,0.5251899115080528,0.6719205243144993,0.8895919197136277,0.7624689284336176,0.11616807318672681
0,oracle,16,0.1,23.666666666666668,16.0,15.692307692307692,0.0,0.1,6855.076923076923,54121.41025641026,0.03422312693185773,0.313930643600572,0.17407688526621484,1.0,0.5578681815202403,0.7147274656616912,1.0,0.7002069053887346,0.82098280076392,1.0,0.8383733310814616,0.9092040198589887,0.3086075866648665
0,oracle,16,0.25,23.666666666666668,16.0,15.692307692307692,0.0,0.25,17138.384615384617,54121.41025641026,0.06895010113883175,0.2660158996156628,0.16748300037724728,0.8137228639238747,0.6508627315732808,0.7201138468770454,0.9803496719656452,0.7651647659865359,0.8579788977136662,1.0,0.8673432945172542,0.9264501601505253,0.30907234069943584
0,oracle,16,0.5,23.666666666666668,16.0,15.692307692307692,0.0,0.5,34277.256410256414,54121.41025641026,0.155847098202506,0.2431185347192217,0.19948281646086385,0.4253715738054666,0.6529256722840151,0.5117295628130174,0.7237060466666253,0.7816843871081118,0.7467452427096437,0.977107930975709,0.8860232848958816,0.9282367497845438,0.1897847875932928
0,oracle,16,0.75,23.666666666666668,16.0,15.692307692307692,0.0,0.75,51415.8717948718,54121.41025641026,0.289650410686504,0.2375352087928057,0.2635928097396549,0.2835808628358265,0.6529256722840151,0.3931166120795898,0.48440005166942485,0.7817294881876734,0.5943322056737783,0.8436373220128823,0.8895777364932058,0.8632859444401382,0.13643677738927998
0,oracle,16,0.9,23.666666666666668,16.0,15.692307692307692,0.0,0.9,61698.94871794872,54121.41025641026,0.41930597496561123,0.23654458672386477,0.327925280844738,0.23631809250810007,0.6529256722840151,0.3451650134551367,0.40366791796250306,0.7817294881876734,0.5291818473039516,0.7111720995124486,0.8896244531084095,0.7875271470919178,0.11675305911820513
0,oracle,16,1.0,23.666666666666668,16.0,15.692307692307692,0.0,1.0,68554.92307692308,54121.41025641026,0.5736680240719798,0.23620137645663355,0.40493470026430667,0.21268436236207108,0.6529256722840151,0.3192148510195201,0.3632978411903608,0.7817294881876734,0.49315957582966863,0.6400492001132994,0.8896244531084095,0.7417675463236798,0.10650928150223106
0,oracle,32,0.1,23.666666666666668,32.0,21.846153846153847,0.0,0.1,8143.5641025641025,58588.4358974359,0.03605411052498899,0.3183095993436921,0.17718185493434052,0.9953457388885184,0.58065337114909,0.731031730323586,1.0,0.7093714977685306,0.8265525113282751,1.0,0.8364692500138033,0.9075313008623979,0.3346106217656813
0,oracle,32,0.25,23.666666666666668,32.0,21.846153846153847,0.0,0.25,20359.4358974359,58588.4358974359,0.07488010327241068,0.2742209997936558,0.17455055153303325,0.7776903623849388,0.6597430432859834,0.7087301351138112,0.9686051333577239,0.7659933160962138,0.8538579234843848,1.0,0.8634397525871221,0.9235806511506309,0.3081476286494286
0,oracle,32,0.5,23.666666666666668,32.0,21.846153846153847,0.0,0.5,40719.48717948718,58588.4358974359,0.16813661586307746,0.25197059902826896,0.21005360744567325,0.4017466750401179,0.6610778460569331,0.4951830094418557,0.6953228875676408,0.7796332950647368,0.729134661044346,0.9698413475190987,0.8800985330089668,0.921435854120783,0.1848286172066035
0,oracle,32,0.75,23.666666666666668,32.0,21.846153846153847,0.0,0.75,61079.256410256414,58588.4358974359,0.30995219681932257,0.24664728432691208,0.27829974057311735,0.26783078102082475,0.6610778460569331,0.3781680117832501,0.4637885924928168,0.779642918760726,0.5771802628102344,0.8261022337974805,0.8833127169928685,0.8505405903797422,0.13175898325076726
0,oracle,32,0.9,23.666666666666668,32.0,21.846153846153847,0.0,0.9,73294.94871794872,58588.4358974359,0.44501477896772895,0.24562551044885828,0.3453201447082936,0.22319312504178604,0.6610778460569331,0.3312656740101103,0.3864918759032847,0.779642918760726,0.5130793370925462,0.6947346863131768,0.8833549464163118,0.7744440542351638,0.11240458390458219
0,oracle,32,1.0,23.666666666666668,32.0,21.846153846153847,0.0,1.0,81439.43589743589,58588.4358974359,0.6011653957141206,0.24523241592723544,0.423198905820678,0.20087182425950115,0.6610778460569331,0.3059770348430911,0.34783927411588056,0.779642918760726,0.47772882545375867,0.625255227707437,0.8833549464163118,0.7291473810833277,0.10237935222217787
0,support,-1,0.1,23.666666666666668,-1.0,23.666666666666668,0.0,0.1,8403.871794871795,59403.743589743586,0.22863014002351215,1.0753550666059184,0.6519926033147153,0.5676912638192001,0.287967686356787,0.37965886734088333,0.7303839702030944,0.3681192232251084,0.48654763046752436,0.8800194956956324,0.49218702041901125,0.6280659654895406,0.13365913348765304
0,support,-1,0.25,23.666666666666668,-1.0,23.666666666666668,0.0,0.25,21010.17948717949,59403.743589743586,0.28724152398836766,0.5423081195337088,0.4147748217610383,0.4049499803233256,0.42656844964387647,0.41227907477812326,0.5974537512583393,0.5377702305531618,0.5624595005887948,0.8373710161602325,0.6970921458161649,0.7573354204001334,0.15022371192403616
0,support,-1,0.5,23.666666666666668,-1.0,23.666666666666668,0.0,0.5,42021.02564102564,59403.743589743586,0.40214929746603373,0.32753249035062504,0.36484089390832936,0.2891261011304504,0.5413215284772307,0.37371917964342594,0.4675820621633206,0.6759051497658569,0.5485115673820159,0.7491817091809412,0.8267071026204397,0.7831532180257355,0.1320446925328744
0,support,-1,0.75,23.666666666666668,-1.0,23.666666666666668,0.0,0.75,63031.53846153846,59403.743589743586,0.504668961420143,0.27763713535951395,0.39115304838982845,0.23289261320369897,0.6043280129715405,0.33346898766154365,0.3934402770552832,0.7344589036014543,0.5087100530319622,0.6784649969328356,0.8614289699815298,0.7563564973188399,0.11423613813448401
0,support,-1,0.9,23.666666666666668,-1.0,23.666666666666668,0.0,0.9,75637.71794871795,59403.743589743586,0.5651093096919223,0.2641241244188356,0.41461671705537895,0.21126531442436866,0.6355778356571453,0.3145577838693483,0.36259348305045,0.7540689072066171,0.4859396022740853,0.6430314562818991,0.8700433108287114,0.7362030809490009,0.10638681710328306
0,support,-1,1.0,23.666666666666668,-1.0,23.666666666666668,0.0,1.0,84042.51282051283,59403.743589743586,0.6045948985061248,0.24609129909241304,0.4253430987992689,0.19922247917276797,0.6622436542814445,0.30401428022655314,0.34547999199156376,0.7798093618857774,0.47539493479362366,0.6231119701529817,0.8826799284878004,0.7273840963252491,0.10170705697987846
0,support,1,0.1,23.666666666666668,1.0,1.0,0.0,0.1,933.5897435897435,14955.076923076924,0.20757554954828736,1.1750509401266716,0.6913132448374795,0.661636612105959,0.18277199663125332,0.28482180145679775,0.774310388899206,0.2667714500505269,0.3947752836054501,0.878481971682298,0.424968074585624,0.569755959350897,0.05198574173734357
0,support,1,0.25,23.666666666666668,1.0,1.0,0.0,0.25,2334.74358974359,14955.076923076924,0.23753269134591953,0.6626174544384795,0.45007507289219956,0.5500103604823351,0.3137358254260879,0.3975711492020894,0.6948203520759094,0.4509990314450268,0.5443533239591347,0.8652316162722721,0.6610665547971727,0.7461292565414145,0.09439542121914152
0,support,1,0.5,23.666666666666668,1.0,1.0,0.0,0.5,4670.0,14955.076923076924,0.29903696776523697,0.4337301346856114,0.36638355122542415,0.44865261944865065,0.39521878687229145,0.4181435139363319,0.6063206940380443,0.5460447153887302,0.572244128538143,0.8161418309061201,0.7548896792058938,0.781635644334176,0.12040442465527022
0,support,1,0.75,23.666666666666668,1.0,1.0,0.0,0.75,7005.0,14955.076923076924,0.35914654706067417,0.39794624579636473,0.37854639642851945,0.37732962297858375,0.4191071567219585,0.39470173796427566,0.5364553558389875,0.5678195702359671,0.5488285310182025,0.7670676282768712,0.773913958299341,0.7676752151735287,0.11984572446840411
0,support,1,0.9,23.666666666666668,1.0,1.0,0.0,0.9,8406.0,14955.076923076924,0.4002743496110515,0.3799347728674978,0.39010456123927467,0.34311205600145084,0.4304030756627256,0.3794932266675954,0.5011477621038767,0.5797213247625292,0.5348455702781837,0.7368912801747786,0.7849167611094627,0.7576046205528453,0.11677601677336238
0,support,1,1.0,23.666666666666668,1.0,1.0,0.0,1.0,9340.461538461539,14955.076923076924,0.43391624355961783,0.3646416646202884,0.3992789540899531,0.3187270944630735,0.43560137717410513,0.3657804862055722,0.4744665984447868,0.5883042966867865,0.5226495057026553,0.7147992470697547,0.7968493802022965,0.7512406435608023,0.11299674142197294
0,support,2,0.1,23.666666666666668,2.0,2.0,0.0,0.1,1642.1538461538462,24069.0,0.18140469075526686,0.9907285214871414,0.5860666061212041,0.6623745729142894,0.19781661618993734,0.3024728430649905,0.7953195077928704,0.29535368282299623,0.4283634164399577,0.8996471432843876,0.4769891299705232,0.6210956586522591,0.06473547189585223
0,support,2,0.25,23.666666666666668,2.0,2.0,0.0,0.25,4106.153846153846,24069.0,0.22790035009159523,0.503527377755235,0.36571386392341515,0.5477576305044923,0.34290482760297797,0.4189037887923676,0.7069969206476795,0.5023903879552908,0.5838531291345189,0.8708285606678415,0.7286079875090578,0.7906689582085554,0.11320428823329451
