method,N_req,frac,N,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
A_point,-1,0.02,23.666666666666668,84042.51282051283,1680.3076923076924,1680.3076923076924,59403.743589743586,0.20618772999304222,1.8912909461782839,1.048739338085663,0.7838520238003057,0.10651572875774096,0.18673513000547518,0.828927579675616,0.13665242486405263,0.23379173879649337,0.8683861619178137,0.22230114994766184,0.3519063045906798,0.052611044347141825,
A_point,-1,0.05,23.666666666666668,84042.51282051283,4201.717948717948,4201.717948717948,59403.743589743586,0.21279375955028776,1.4365100008925968,0.8246518802214424,0.6842995604665213,0.19889708958240812,0.3064866793163945,0.7922984466003267,0.25471631006269657,0.38314886220259226,0.8778310913771008,0.36834004168693446,0.5147615570941887,0.10102887348322054,
A_point,-1,0.1,23.666666666666668,84042.51282051283,8403.871794871795,8403.871794871795,59403.743589743586,0.22863014002351215,1.0753550666059184,0.6519926033147153,0.5676912638192001,0.287967686356787,0.37965886734088333,0.7303839702030944,0.3681192232251084,0.48654763046752436,0.8800194956956324,0.49218702041901125,0.6280659654895406,0.13365913348765304,
A_point,-1,0.25,23.666666666666668,84042.51282051283,21010.17948717949,21010.17948717949,59403.743589743586,0.28724152398836766,0.5423081195337088,0.4147748217610383,0.4049499803233256,0.42656844964387647,0.41227907477812326,0.5974537512583393,0.5377702305531618,0.5624595005887948,0.8373710161602325,0.6970921458161649,0.7573354204001334,0.15022371192403616,
A_point,-1,0.5,23.666666666666668,84042.51282051283,42021.02564102564,42021.02564102564,59403.743589743586,0.40214929746603373,0.32753249035062504,0.36484089390832936,0.2891261011304504,0.5413215284772307,0.37371917964342594,0.4675820621633206,0.6759051497658569,0.5485115673820159,0.7491817091809412,0.8267071026204397,0.7831532180257355,0.1320446925328744,
A_point,-1,1.0,23.666666666666668,84042.51282051283,84042.51282051283,84042.51282051283,59403.743589743586,0.6045948985061248,0.24609129909241304,0.4253430987992689,0.19922247917276797,0.6622436542814445,0.30401428022655314,0.34547999199156376,0.7798093618857774,0.47539493479362366,0.6231119701529817,0.8826799284878004,0.7273840963252491,0.10170705697987846,
A_point,1,0.02,1.0,9340.461538461539,186.33333333333334,186.33333333333334,14955.076923076924,0.2195996195315997,1.7821266293811566,1.0008631244563782,0.7479995297385421,0.04646904360619881,0.08732512344660066,0.7942734639534331,0.07358172442569294,0.13422406926713457,0.8457657467880488,0.17011199587646786,0.2805841999658141,0.012560220079267078,
A_point,1,0.05,1.0,9340.461538461539,466.5128205128205,466.5128205128205,14955.076923076924,0.20286635316336765,1.4923126036272134,0.8475894783952906,0.7205098311954334,0.10557704377380464,0.18340617972678133,0.8029569727565945,0.15746957626272426,0.2618335207594083,0.8752873052317821,0.2874483032664462,0.42940108649349484,0.029158679846329385,
A_point,1,0.1,1.0,9340.461538461539,933.5897435897435,933.5897435897435,14955.076923076924,0.20757554954828736,1.1750509401266716,0.6913132448374795,0.661636612105959,0.18277199663125332,0.2848218014567978,0.774310388899206,0.2667714500505269,0.3947752836054501,0.878481971682298,0.424968074585624,0.569755959350897,0.05198574173734357,
A_point,1,0.25,1.0,9340.461538461539,2334.74358974359,2334.74358974359,14955.076923076924,0.23753269134591953,0.6626174544384795,0.45007507289219956,0.5500103604823351,0.3137358254260879,0.3975711492020894,0.6948203520759094,0.4509990314450268,0.5443533239591347,0.8652316162722721,0.6610665547971727,0.7461292565414146,0.09439542121914152,
A_point,1,0.5,1.0,9340.461538461539,4670.0,4670.0,14955.076923076924,0.29903696776523697,0.4337301346856114,0.36638355122542415,0.44865261944865065,0.39521878687229145,0.4181435139363319,0.6063206940380443,0.5460447153887302,0.572244128538143,0.8161418309061201,0.7548896792058938,0.781635644334176,0.12040442465527022,
