scene,seq,N_req,ranking,auroc,prec_top,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0011,4,support,0.7082270100054457,0.657500959201944,7819,51469,0.2605325195427315,0.899484221025281,0.5800083702840062,0.49661081979792815,0.26330412481299426,0.3441429286444846,0.657500959201944,0.3727875031572403,0.4758048835044265,0.8393656477810462,0.5477860459694185,0.6629307975357615,0.0980788675429727
apartment_2,seq_0011,4,logit_count,0.7082270100054457,0.657500959201944,7819,51469,0.2605325195427315,0.899484221025281,0.5800083702840062,0.49661081979792815,0.26330412481299426,0.3441429286444846,0.657500959201944,0.3727875031572403,0.4758048835044265,0.8393656477810462,0.5477860459694185,0.6629307975357615,0.0980788675429727
apartment_2,seq_0011,4,mlp_all,0.7380770496490632,0.7103210129172528,7819,51469,0.2111067832073277,0.906299153113672,0.5587029681604999,0.540734109221128,0.2891643513571276,0.37681966018024093,0.7103210129172528,0.40309700985058966,0.5143230493596719,0.8910346591635759,0.5574034855932697,0.6857950083682246,0.108351760503487
apartment_2,seq_0011,4,mlp_noconf,0.7380770496490632,0.7103210129172528,7819,51469,0.2111067832073277,0.906299153113672,0.5587029681604999,0.540734109221128,0.2891643513571276,0.37681966018024093,0.7103210129172528,0.40309700985058966,0.5143230493596719,0.8910346591635759,0.5574034855932697,0.6857950083682246,0.108351760503487
apartment_2,seq_0011,-1,support,0.7181452613518636,0.5264662935020686,16436,51469,0.3461932359153769,0.8197353907212132,0.582964313318295,0.37004137259673886,0.35961452524820764,0.3647534486368244,0.5264662935020686,0.46530921525578506,0.49400215215009863,0.7821246045266488,0.602809458120422,0.6808585646831706,0.11285457579258118
apartment_2,seq_0011,-1,logit_count,0.7181452613518636,0.5264662935020686,16436,51469,0.3461932359153769,0.8197353907212132,0.582964313318295,0.37004137259673886,0.35961452524820764,0.3647534486368244,0.5264662935020686,0.46530921525578506,0.49400215215009863,0.7821246045266488,0.602809458120422,0.6808585646831706,0.11285457579258118
apartment_2,seq_0011,-1,mlp_all,0.7359586880673561,0.5581041615964955,16436,51469,0.3026050856635908,0.7836962283579636,0.5431506570107771,0.4036870284740813,0.36991198585556356,0.3860622043226832,0.5581041615964955,0.4581981386854223,0.5032405967499357,0.8098077391092723,0.6092405137072802,0.6953501151209187,0.12392649965972065
apartment_2,seq_0011,-1,mlp_noconf,0.7359586880673561,0.5581041615964955,16436,51469,0.3026050856635908,0.7836962283579636,0.5431506570107771,0.4036870284740813,0.36991198585556356,0.3860622043226832,0.5581041615964955,0.4581981386854223,0.5032405967499357,0.8098077391092723,0.6092405137072802,0.6953501151209187,0.12392649965972065
frl_apartment_5,seq_0001,4,support,0.5965861600725293,0.6424596172118908,7367,48964,0.34561813340883124,1.2249618626453562,0.7852899980270938,0.4567666621419845,0.2716894044604199,0.340716943970386,0.6424596172118908,0.4023568335920268,0.4948199601819529,0.7704628749830325,0.5623723551997386,0.6501734224698626,0.09735988466390341
frl_apartment_5,seq_0001,4,logit_count,0.5965861600725293,0.6424596172118908,7367,48964,0.34561813340883124,1.2249618626453562,0.7852899980270938,0.4567666621419845,0.2716894044604199,0.340716943970386,0.6424596172118908,0.4023568335920268,0.4948199601819529,0.7704628749830325,0.5623723551997386,0.6501734224698626,0.09735988466390341
frl_apartment_5,seq_0001,4,mlp_all,0.640370665137082,0.7031356047237681,7367,48964,0.262684239479408,0.9450422783904361,0.603863258934922,0.49585991584091216,0.2917653786455355,0.36736950200361157,0.7031356047237681,0.42120741769463277,0.5268248683000949,0.8406406949911769,0.5854301119189609,0.6901990753441307,0.10905199890720335
frl_apartment_5,seq_0001,4,mlp_noconf,0.640370665137082,0.7031356047237681,7367,48964,0.262684239479408,0.9450422783904361,0.603863258934922,0.49585991584091216,0.2917653786455355,0.36736950200361157,0.7031356047237681,0.42120741769463277,0.5268248683000949,0.8406406949911769,0.5854301119189609,0.6901990753441307,0.10905199890720335
frl_apartment_5,seq_0001,-1,support,0.6267815569116455,0.6277082906158157,14631,48964,0.35748550327201456,0.9246239721462601,0.6410547377091373,0.42362107853188435,0.37072134629523734,0.39540976698193986,0.6277082906158157,0.4694060942733437,0.5371365121071405,0.7648144351035473,0.6251531737603137,0.6879673575033842,0.1330442883760929
