scene,seq,N_req,N,method,frac,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,grid_voxel
apartment_2,seq_0000,1,1,A_point,1.0,8039,8039,8039,90479,0.5606212912387593,2.1455798416193903,1.3531005664290747,0.23659659161587263,0.09302711126338709,0.133545599181926,0.36434879960194055,0.14111561798870456,0.20343788496269452,0.5753203134718249,0.19775859591728467,0.2943413305241643,0.03367012950049808,
apartment_2,seq_0000,1,1,A_point,0.5,8039,4019,4019,90479,0.31351124345680953,2.160652271676052,1.2370817575664308,0.40009952724558345,0.088937764564153,0.1455265606625387,0.5434187608857924,0.1359873561820975,0.2175372836250929,0.7773077880069669,0.19623338012135413,0.3133585710165979,0.032974062110212046,
apartment_2,seq_0000,1,1,A_point,0.25,8039,2009,2009,90479,0.18143999514196268,2.2192869457312767,1.2003634704366197,0.5968143354902937,0.07703444998286896,0.13645573032858796,0.6988551518168243,0.10498568728655268,0.18254804896221946,0.9148830263812843,0.17152046331192874,0.2888819155127162,0.02570354566697145,
apartment_2,seq_0000,1,1,A_point,0.1,8039,803,803,90479,0.1160657050929282,3.2217267457282164,1.6688962254105724,0.7359900373599004,0.04185501608107959,0.07920568425019973,0.8306351183063512,0.05857712839443407,0.1094366843337676,0.9887920298879203,0.10000110522883764,0.18163284216455747,0.012040645879732739,
apartment_2,seq_0000,1,1,A_point,0.05,8039,401,401,90479,0.09382450373242655,3.5729183416403423,1.8333714226863844,0.8179551122194514,0.023585583395041944,0.045849116063402674,0.912718204488778,0.03437261685031886,0.06625027384564022,1.0,0.06638004398810773,0.12449603565321034,0.005962820063135742,
apartment_2,seq_0000,1,1,A_point,0.02,8039,160,160,90479,0.07204769786833012,3.7712707188632146,1.9216592083657724,0.9125,0.01121807270195294,0.02216367015660841,0.96875,0.019043092872379225,0.037351944153553245,1.0,0.04450756529139358,0.08522210230038305,0.0021848680269232123,
apartment_2,seq_0000,1,1,B_argmax,1.0,8821,8821,8821,90479,0.5345225923110406,1.7062371562847845,1.1203798742979125,0.276499263122095,0.11747477315178108,0.1648925321024083,0.39893436118353925,0.1694978945390643,0.2379123760101839,0.6142160752749122,0.2570430707678025,0.3624179713250801,0.04286718200983837,
apartment_2,seq_0000,1,1,B_argmax,0.5,8821,4410,4410,90479,0.33335631420047573,2.0983884066771425,1.215872360438809,0.41882086167800453,0.10113949093159738,0.16293291797750084,0.5587301587301587,0.15091899777849005,0.2376469972825073,0.7736961451247165,0.21047977983841554,0.33093147303675713,0.03794373531466311,
apartment_2,seq_0000,1,1,B_argmax,0.25,8821,2205,2205,90479,0.19176203775344014,2.22381691599581,1.2077894768746251,0.5528344671201814,0.07728865261552405,0.13561740474166864,0.6984126984126984,0.11539694293703512,0.1980676713821222,0.9015873015873016,0.17968810442202057,0.299654486346081,0.02781617721433629,
apartment_2,seq_0000,1,1,B_argmax,0.1,8821,882,882,90479,0.12164839682120876,3.2324232769786017,1.6770358368999052,0.6111111111111112,0.03806408116800584,0.07166442344889294,0.8253968253968254,0.060710220051061574,0.11310151105718966,0.9909297052154195,0.10144895500613402,0.1840548277613767,0.013520088975392744,
