N_req,method,param,N,n_vox,n_cand,kept,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
-1,fake_posterior,0.05,23.666666666666668,84042.51282051283,600975.358974359,70388.96153846153,0.11712447689588797,70388.96153846153,59403.743589743586,0.4625096476682536,0.7225891027011734,0.5925493751847134,0.43994213935589416,0.4271064697172125,0.2749730477591475,0.5733902772129055,0.4995714712711346,0.4036692949817631,0.7360355934748363,0.6219935803224852,0.599856685576532,0.09230256236165002
-1,fake_posterior,0.1,23.666666666666668,84042.51282051283,600975.358974359,70388.96153846153,0.11712447689588797,70388.96153846153,59403.743589743586,0.44253227680095986,0.764991980897334,0.6037621288491469,0.43899641120963306,0.42254106612358144,0.27150544225832235,0.5853076425705483,0.48738024601039726,0.40015575697020306,0.7480592372935908,0.6031642530355963,0.593199121040902,0.09195192771759018
-1,fake_posterior,0.2,23.666666666666668,84042.51282051283,600975.358974359,70388.96153846153,0.11712447689588797,70388.96153846153,59403.743589743586,0.4209743076419918,0.8408575093460738,0.6309159084940329,0.4255155777385251,0.4088264320687724,0.2604211617920033,0.5937773524230292,0.4637700158601552,0.38788021734219513,0.7628011097710776,0.571583895424614,0.5791898441971025,0.08837966704439335
-1,fake_posterior,0.4,23.666666666666668,84042.51282051283,600975.358974359,70388.96153846153,0.11712447689588797,70388.96153846153,59403.743589743586,0.4043704648497438,0.9005811518117712,0.6524758083307575,0.3931657037058989,0.39314647181041035,0.24679396926516958,0.5830472303126302,0.4452182538837951,0.3763147010730225,0.7736452873394746,0.5500020020468966,0.5728420257313882,0.08156740165396145
-1,fake_posterior_same_cand,0.05,23.666666666666668,84042.51282051283,84042.51282051283,9843.051282051281,0.11711923769317578,9843.051282051281,59403.743589743586,0.22013479510892703,1.4801786746862031,0.8501567348975652,0.7203203591109568,0.188273098327218,0.2222643211317619,0.7968102012200319,0.24209551867924411,0.29739307121180186,0.8782357125753671,0.3501952349873905,0.43235847771613023,0.07543918618351632
-1,fake_posterior_same_cand,0.1,23.666666666666668,84042.51282051283,84042.51282051283,9843.051282051281,0.11711923769317578,9843.051282051281,59403.743589743586,0.21879622506778565,1.5045239557574193,0.8616600904126025,0.7159934708918513,0.18448662516926687,0.21902666487225586,0.7975084036328912,0.2343451716385145,0.29308733744308546,0.8791449612876215,0.3387216821531558,0.42560694979011077,0.07423606054056953
-1,fake_posterior_same_cand,0.2,23.666666666666668,84042.51282051283,84042.51282051283,9843.051282051281,0.11711923769317578,9843.051282051281,59403.743589743586,0.22269054613205638,1.529560706946398,0.8761256265392271,0.6951642915952809,0.17822098044659415,0.21244451888435734,0.7895420893786541,0.2247146251481138,0.2876046526288481,0.8765535241213271,0.32363492942022765,0.4185668293392699,0.0703859598868255
-1,fake_posterior_same_cand,0.4,23.666666666666668,84042.51282051283,84042.51282051283,9843.051282051281,0.11711923769317578,9843.051282051281,59403.743589743586,0.23754008547647323,1.5088343328598814,0.8731872091681774,0.6506892222947197,0.17375347007589267,0.20763787462733,0.7684782108344335,0.22350600650181976,0.29064407176425455,0.8683567555199051,0.32523943683208345,0.42819875038810334,0.06474020133523473
-1,oracle,0.002,23.666666666666668,84042.51282051283,84042.51282051283,167.6153846153846,0.00199402426729371,167.6153846153846,59403.743589743586,0.008244999253753417,0.7533885995760952,0.3808167994149243,1.0,0.03424921818125748,0.06605636785013727,1.0,0.11739595938854598,0.20909357363812042,1.0,0.43473291188794605,0.6031460490442786,0.008717980557809216
-1,oracle,0.005,23.666666666666668,84042.51282051283,84042.51282051283,419.7692307692308,0.004993562471549455,419.7692307692308,59403.743589743586,0.01186495526885699,0.5801608283393366,0.29601289180409673,1.0,0.08296960447589065,0.152593814876022,1.0,0.2425630149008593,0.38876635443952856,1.0,0.6232444094216137,0.7657203909458301,0.021624627454052248
