scene,seq,N_req,N,n_vox,method,param,n_cand,kept,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0006,-1,18,86240,support,0.5,86240,43120,0.5,43120,54151,0.5614135712211189,0.6161812387093764,0.5887974049652476,0.2582560296846011,0.5228712304481912,0.34574301756898346,0.40974025974025974,0.5864896308470757,0.4824356625890317,0.6534090909090909,0.6689996491292867,0.6611124674559881,0.12251203563986492
apartment_2,seq_0006,-1,18,86240,support,0.25,86240,21560,0.25,21560,54151,0.3032739720111507,0.7663006564979641,0.5347873142545574,0.4089981447124304,0.47134863622093776,0.4379654061384909,0.5704081632653061,0.5455485586600433,0.557701468530832,0.8141929499072357,0.627412236154457,0.7087025272960299,0.1571061038704023
apartment_2,seq_0006,-1,18,86240,support,0.1,86240,8624,0.1,8624,54151,0.17136897683207136,0.9895541945216925,0.5804615856768819,0.6209415584415584,0.3454599176377168,0.44393644866382576,0.7430426716141002,0.42700965817805764,0.542345652649585,0.9291512059369202,0.5347269671843549,0.6788026702344641,0.15122352457330865
apartment_2,seq_0006,-1,18,86240,support,0.05,86240,4312,0.05,4312,54151,0.13361136946920654,1.2667656781913992,0.7001885238303028,0.7435064935064936,0.24605270447452493,0.36974399084945436,0.8211966604823747,0.2950268693098927,0.4340977830398218,0.9390074211502782,0.4180162877878525,0.5785018991328171,0.11508758711621775
apartment_2,seq_0006,-1,18,86240,support,0.02,86240,1724,0.019990723562152132,1724,54151,0.08838052477089821,1.8639387633175633,0.9761596440442307,0.8799303944315545,0.13658104190134993,0.23645933685839682,0.9066125290023201,0.15534339162711677,0.2652393803000457,0.9611368909512761,0.2166534320695832,0.3536004703777733,0.06256926952141058
apartment_2,seq_0006,-1,18,86240,support,0.01,86240,862,0.009995361781076066,862,54151,0.06730557962856576,2.2662777744849922,1.166791677056779,0.91415313225058,0.07807796716588798,0.14386813371689372,0.9385150812064965,0.0915772561910214,0.16687171219606373,0.9837587006960556,0.135676164798434,0.2384642674829898,0.03309161474823818
apartment_2,seq_0006,-1,18,86240,support,0.005,86240,431,0.004997680890538033,431,54151,0.05396901853171631,2.5384576282367073,1.2962133233842117,0.9350348027842227,0.04243688943879153,0.08118898759499452,0.962877030162413,0.05471736440693616,0.10355028215492919,1.0,0.09130025299625122,0.1673238006599543,0.01804812834224599
apartment_2,seq_0006,-1,18,86240,support,0.002,86240,172,0.00199443413729128,172,54151,0.04642645098446696,2.7248841318857493,1.3856552914351081,0.9534883720930233,0.0200919650606637,0.03935464661057136,0.9883720930232558,0.03143062916658972,0.06092385528784068,1.0,0.06572362467913796,0.12334084214174319,0.007528101474682892
apartment_2,seq_0006,-1,18,86240,oracle,0.5,86240,43120,0.5,43120,54151,0.20292482680762122,0.46062143086624313,0.33177312883693216,0.3154452690166976,0.6119923916455836,0.4163085300654205,0.5467996289424861,0.7022954331406622,0.6148689461775392,0.9992810760667904,0.7718417019076287,0.8709580341093869,0.14945827125066682
apartment_2,seq_0006,-1,18,86240,oracle,0.25,86240,21560,0.25,21560,54151,0.08260691797603494,0.5009816367068758,0.29179427734145535,0.6308905380333952,0.6119923916455836,0.6212977908343329,1.0,0.7013536222784437,0.8244654292847065,1.0,0.751694336208011,0.8582482921480983,0.2476907599914642
