scene,seq,n_steps,selection,n,span_m,frac,ref,delta,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,sid
apartment_2,seq_0011,15,all,15,2.1,1.0,fixed,0.0,63316,51469,0.987954811208863,0.580574179994626,0.7842644956017445,0.19408996146313728,0.5234801531018671,0.2831841535202467,0.3022300840229958,0.5904719345625522,0.39981624031459334,0.5349990523722282,0.6792632458373001,0.5985612719263259,0.09259333681630029,apartment_2/seq_0011
apartment_2,seq_0011,15,all,15,2.1,1.0,subset,0.0,63316,51469,0.987954811208863,0.580574179994626,0.7842644956017445,0.19408996146313728,0.5234801531018671,0.2831841535202467,0.3022300840229958,0.5904719345625522,0.39981624031459334,0.5349990523722282,0.6792632458373001,0.5985612719263259,0.09259333681630029,apartment_2/seq_0011
apartment_2,seq_0011,15,all,15,2.1,0.25,fixed,0.0,15829,51469,0.37209654434313516,0.7611047666723695,0.5666006555077523,0.41461873775980795,0.4082651693252249,0.41141742527582814,0.5346515888558974,0.49921311857623035,0.5163249796724706,0.7712426558847685,0.6356253278672599,0.6968974653962665,0.1215193206503851,apartment_2/seq_0011
apartment_2,seq_0011,15,all,15,2.1,0.25,subset,0.0,15829,51469,0.37209654434313516,0.7611047666723695,0.5666006555077523,0.41461873775980795,0.4082651693252249,0.41141742527582814,0.5346515888558974,0.49921311857623035,0.5163249796724706,0.7712426558847685,0.6356253278672599,0.6968974653962665,0.1215193206503851,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.3,6,2.1,1.0,fixed,0.3,40110,51469,0.8466636264931846,0.6192314232352454,0.732947524864215,0.23659935178259786,0.47607297596611553,0.3161019535320342,0.3575916230366492,0.5717227845887816,0.43998732138571955,0.5869359262029419,0.6690046435718587,0.6252889182158122,0.10089233497462599,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.3,6,2.1,1.0,subset,0.3,40110,36443,0.8513042771136426,0.4890050683015522,0.6701546727075974,0.2337820992271254,0.5518480915402135,0.32842985621198056,0.3543006731488407,0.6520319402903164,0.4591232605885748,0.5853652455746696,0.7435447136624317,0.6550409693048305,0.10010937655364423,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.3,6,2.1,0.25,fixed,0.3,10027,51469,0.31140790216718034,0.79671801098577,0.5540629565764752,0.4878827166650045,0.33373486953311704,0.39634856295394677,0.6020743991223696,0.4451611649730906,0.5118621828801,0.8029320833748878,0.6043637917970041,0.6896390261992968,0.10493610036346582,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.3,6,2.1,0.25,subset,0.3,10027,36443,0.3125364739430337,0.6402142847625714,0.4763753793528025,0.4864864864864865,0.41772082430096313,0.44948881461584206,0.5997805924005186,0.5364267486211344,0.5663373953880072,0.8024334297397028,0.6905029772521472,0.7422723026740967,0.11540331491712708,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.3,6,1.2,1.0,fixed,0.3,36884,51469,0.9223397816624631,0.8191755464703868,0.870757664066425,0.23622709033727363,0.45571120480289107,0.3111587628572389,0.36086107797418937,0.5332724552643339,0.4304441471144215,0.5793840147489426,0.6075696050049545,0.5931421601126872,0.09766247212488054,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.3,6,1.2,1.0,subset,0.3,36884,34085,0.9374466997440325,0.6683440445075894,0.802895372125811,0.2279036980804685,0.563180284582661,0.3244936627595841,0.3409608502331634,0.6462080093882939,0.44639096981442816,0.5618696453746882,0.7038873404723486,0.6249113136203936,0.09746308379120878,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.3,6,1.2,0.25,fixed,0.3,9221,51469,0.35418062064575817,0.930895355717382,0.64253798818157,0.4536384340093265,0.3086129514853601,0.36732946293291036,0.5730398004554821,0.4294623948396122,0.4909695882901955,0.7862487799587897,0.5643979871378888,0.6571033072581263,0.09091631250744728,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.3,6,1.2,0.25,subset,0.3,9221,34085,0.3580761056522671,0.7539385120811422,0.5560073088667046,0.44973430213642773,0.4131142731406777,0.4306471950164673,0.5636048150959766,0.5466627548775121,0.5550045218198246,0.7838629215920182,0.6798885140090949,0.7281829195667566,0.10379532521281098,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.3,6,0.7500000000000001,1.0,fixed,0.3,34981,51469,0.8758936120614017,0.8282211422832357,0.8520573771723188,0.2435322031960207,0.4431211020225767,0.31431948972808643,0.3610817300820445,0.516835376634479,0.42514221567171645,0.5802864412109431,0.6014688453243701,0.5906878009842597,0.09932461738645518,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.3,6,0.7500000000000001,1.0,subset,0.3,34981,34451,0.8913760452696379,0.6885946027329265,0.7899853240012822,0.23461307566964923,0.5351949145162694,0.32622089294524387,0.3417569537749064,0.6106353951989782,0.4382414301315672,0.5642777507789943,0.6795738875504339,0.6165822561766587,0.09620095310203536,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.3,6,0.7500000000000001,0.25,fixed,0.3,8745,51469,0.26116714593741347,0.9308436161333712,0.5960053810353924,0.49125214408233275,0.30754434708271,0.3782736193155529,0.6205831903945112,0.42415823116827606,0.5039054887605638,0.8601486563750714,0.555868581087645,0.6753160914910746,0.09666409329161757,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.3,6,0.7500000000000001,0.25,subset,0.3,8745,34451,0.26563270058081806,0.7689179656881201,0.517275333134469,0.4850771869639794,0.4031232765376912,0.4403193040716935,0.6090337335620355,0.5320890540187513,0.5679672453891638,0.856718124642653,0.6507793677977417,0.7396821319195092,0.10566055884191795,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.5,4,1.7999999999999996,1.0,fixed,0.5,29946,51469,0.8228353430269633,0.7652639164962279,0.7940496297615955,0.272690843518333,0.44506401911830423,0.3381792004785643,0.4015561343752087,0.5426567448366978,0.46156359343697156,0.6214853402791691,0.6300102974606073,0.6257187836528433,0.1058815430158111,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.5,4,1.7999999999999996,1.0,subset,0.5,29946,29953,0.8314227568776869,0.5603185962943721,0.6958706765860294,0.2597341882054365,0.5575401462290922,0.3543785266986245,0.3858612168570093,0.6584315427503088,0.4865746582370381,0.6192145862552595,0.7384569158348079,0.6735993101454241,0.10360577533050826,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.5,4,1.7999999999999996,0.25,fixed,0.5,7486,51469,0.26286420913821634,0.9549399727477239,0.6089020909429701,0.5575741383916645,0.29248673959082166,0.383697323432639,0.6717873363612076,0.38813654821348775,0.4920074387669807,0.8291477424525782,0.530105500398298,0.6467312566348088,0.09961538461538462,apartment_2/seq_0011
