scene,seq,n_steps,selection,n,span_m,frac,ref,delta,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,sid
apartment_2,seq_0011,15,all,15,2.1,1.0,fixed,0.0,77324,51469,0.6997059177462818,0.27734485243321616,0.48852538508974896,0.1778878485334437,0.6861217431852182,0.2825263096546205,0.30263566292483574,0.7947308088363869,0.4383474278979513,0.5592312865345818,0.8692416794575375,0.6805969091265266,0.08894408805533083,apartment_2/seq_0011
apartment_2,seq_0011,15,all,15,2.1,1.0,subset,0.0,77324,51469,0.6997059177462818,0.27734485243321616,0.48852538508974896,0.1778878485334437,0.6861217431852182,0.2825263096546205,0.30263566292483574,0.7947308088363869,0.4383474278979513,0.5592312865345818,0.8692416794575375,0.6805969091265266,0.08894408805533083,apartment_2/seq_0011
apartment_2,seq_0011,15,all,15,2.1,0.25,fixed,0.0,19331,51469,0.42411296663639625,0.5878917216822132,0.5060023441593047,0.34912834307588847,0.4283937904369621,0.384720660139983,0.4884899901712276,0.5491849462783424,0.5170624047788811,0.7097408307899229,0.7052400474071772,0.7074832810332466,0.10902544123723511,apartment_2/seq_0011
apartment_2,seq_0011,15,all,15,2.1,0.25,subset,0.0,19331,51469,0.42411296663639625,0.5878917216822132,0.5060023441593047,0.34912834307588847,0.4283937904369621,0.384720660139983,0.4884899901712276,0.5491849462783424,0.5170624047788811,0.7097408307899229,0.7052400474071772,0.7074832810332466,0.10902544123723511,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.3,6,2.1,1.0,fixed,0.3,43558,51469,0.5873527529342533,0.29935845096144215,0.44335560194784773,0.237706047109601,0.6032951873943538,0.3410385344329324,0.3799531658937509,0.7655676232295168,0.5078560684602434,0.6222737499426053,0.8657249995142707,0.7240838637309864,0.10285693891753957,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.3,6,2.1,1.0,subset,0.3,43558,36443,0.5908408457149953,0.24587035858717685,0.4183556021510861,0.23068093117223012,0.6693192108223801,0.3431092320980845,0.37545341843059826,0.8172214142633702,0.5145217542770106,0.6207814867532945,0.9001179924814093,0.7347975237747716,0.09988770353733857,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.3,6,2.1,0.25,fixed,0.3,10889,51469,0.3140246527595149,0.7780095174690826,0.5460170851142988,0.47791349067866656,0.3607608463346869,0.4111547659511968,0.6129121131417027,0.4787736307291768,0.5376018865763491,0.787124621177335,0.6009442577085236,0.681548341573924,0.10868407032498668,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.3,6,2.1,0.25,subset,0.3,10889,36443,0.3147199324923431,0.6150009094202683,0.4648604209563057,0.4758012673340068,0.4491671926021458,0.4621007715218978,0.6114427403802002,0.5776966770024422,0.5940908763623071,0.786114427403802,0.6925335455368657,0.736362706432335,0.11994163841565464,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.3,6,1.2,1.0,fixed,0.3,44382,51469,0.646189771881801,0.35477304606080157,0.5004814089713013,0.2179261862917399,0.5497678214070606,0.3121264552377886,0.34320219908972105,0.7071829645029046,0.462129049397569,0.5899013113424362,0.8296644582175678,0.6895350146805124,0.09155715132289888,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.3,6,1.2,1.0,subset,0.3,44382,34085,0.6622547419568233,0.31680328341288033,0.4895290126848518,0.19906718940110857,0.6197154173390055,0.30133763307301803,0.3157586408904511,0.7544374358222092,0.44518970785959633,0.5691045919516922,0.8528091535866217,0.6826540736208176,0.08441378289899569,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.3,6,1.2,0.25,fixed,0.3,11095,51469,0.3216880212181211,0.8034988110098172,0.5625934161139692,0.47345651194231636,0.36589014746740756,0.4127807528198322,0.5972960793150067,0.4818628689113835,0.5334057653717781,0.7824245155475439,0.6106588431871612,0.6859524184963407,0.10520962820657702,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.3,6,1.2,0.25,subset,0.3,11095,34085,0.3285478565854309,0.6598403268757819,0.49419409173060636,0.45822442541685443,0.4696787443156814,0.463880887068418,0.5810725552050473,0.5902596450051342,0.5856300716329887,0.7758449752140604,0.7096083321108992,0.7412499014589803,0.11780531910201561,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.3,6,0.7500000000000001,1.0,fixed,0.3,43047,51469,0.6190570067041363,0.3464868192853451,0.4827719129947407,0.23432527237670453,0.5847986166430278,0.33458454079367334,0.36608822914488814,0.733043191047038,0.488310094256551,0.6082886147699027,0.8478890205754921,0.708376815143354,0.1,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.3,6,0.7500000000000001,1.0,subset,0.3,43047,34451,0.6353975803466922,0.29332086122666096,0.4643592207866766,0.21346435291657956,0.6407070912310238,0.32023576900344247,0.3343554719260343,0.7744042262924153,0.46705573977762294,0.591771784328757,0.8744013236190531,0.7058457540825294,0.08967799608193697,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.3,6,0.7500000000000001,0.25,fixed,0.3,10761,51469,0.2835584972780311,0.802490028504139,0.5430242628910851,0.47384072112257225,0.3603722629155414,0.40938958323542873,0.5990149614348109,0.4642794691950494,0.5231107025927026,0.8066164854567419,0.6013522702986264,0.689021901667808,0.10360308944945402,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.3,6,0.7500000000000001,0.25,subset,0.3,10761,34451,0.2907824257645152,0.6646812709120329,0.47773184833827403,0.4607378496422266,0.452526777161766,0.45659540092925804,0.5812656816281014,0.5623058837189051,0.5716286110772295,0.7989034476349781,0.687120838292067,0.7388078537504041,0.1104400728273902,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.5,4,1.7999999999999996,1.0,fixed,0.5,31318,51469,0.6410878632517567,0.4044603159611879,0.5227740896064723,0.2441407497285906,0.4756261050340982,0.3226592419618973,0.3741298933520659,0.6302045891701801,0.4695216182244335,0.6168657002362858,0.7866482737181605,0.6914877189852169,0.0883160229243978,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.5,4,1.7999999999999996,1.0,subset,0.5,31318,29953,0.6477372126425267,0.3020004056439568,0.47486880914324175,0.23187943035953765,0.5864854939405068,0.332355207831943,0.3602401175043106,0.7302440490101159,0.48247046605558863,0.6128743853375056,0.8558742029179047,0.7142725177528098,0.0864269281995399,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.5,4,1.7999999999999996,0.25,fixed,0.5,7829,51469,0.2901703521898611,0.847603960567289,0.5688871563785751,0.5486013539404777,0.3098175600847112,0.39599857402960364,0.6618980712734704,0.4226427558336086,0.5158799335755202,0.8206667518201558,0.5778041150984088,0.6781473072384613,0.09178460765430031,apartment_2/seq_0011
apartment_2,seq_0011,15,spaced0.5,4,1.7999999999999996,0.25,subset,0.5,7829,29953,0.29361006243903454,0.6220619530505233,0.4578360077447789,0.5376165538382935,0.43855373418355426,0.4830586428162226,0.6507855409375399,0.5550696090541849,0.5991288021431023,0.8190062587814536,0.7012319300237038,0.7555570485940728,0.10802965113265253,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.5,4,1.2000000000000002,1.0,fixed,0.5,29616,51469,0.6138695548445353,0.5492465062804099,0.5815580305624726,0.2679294975688817,0.48664244496687326,0.3455889582575839,0.41852377093462995,0.6342847150712079,0.5042953857731866,0.6428619665045922,0.7564553420505548,0.6950480291930995,0.10276260915647105,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.5,4,1.2000000000000002,1.0,subset,0.5,29616,30427,0.6207528599025949,0.36865997222981484,0.49470641606620486,0.2622906537007023,0.5901337627764814,0.36316784788775835,0.41325634792004323,0.7354323462714036,0.5291635359505602,0.6405996758508914,0.8424754330035823,0.7277979194341546,0.09903811898824368,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.5,4,1.2000000000000002,0.25,fixed,0.5,7404,51469,0.2090123199124265,0.8557291386019938,0.5323707292572102,0.5468665586169638,0.3091569682721638,0.39500691745204747,0.7034035656401945,0.4147545124249548,0.5218221083907877,0.8965424095083738,0.5547416891721231,0.6853922689807036,0.09386728079153872,apartment_2/seq_0011
apartment_2,seq_0011,15,random_n0.5,4,1.2000000000000002,0.25,subset,0.5,7404,30427,0.2106188654185994,0.6167847122288203,0.41370178882370984,0.5432198811453268,0.42744930489367994,0.47843068254289134,0.7023230686115614,0.5418542741643935,0.6117403741211768,0.894921663965424,0.6749597397048673,0.7695308600435015,0.10346641418126348,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.5,4,0.4499999999999999,1.0,fixed,0.5,32230,51469,0.5472082899850089,0.3582868166365601,0.45274755331078453,0.28284207260316474,0.564903145582778,0.37694904810807145,0.41951597890164444,0.718646175367697,0.5297725857645367,0.6496742165684145,0.8390876061318464,0.7323314916246718,0.10851232046382922,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.5,4,0.4499999999999999,1.0,subset,0.5,32230,28494,0.5722549104580398,0.27232479573575075,0.42228985309689526,0.2499534595097735,0.656875131606654,0.3621152072606869,0.3758920260626745,0.7888327367165017,0.5091605246228418,0.6242941358982315,0.8854846634379168,0.7322965232458937,0.09521717911176183,apartment_2/seq_0011
apartment_2,seq_0011,15,consec_n0.5,4,0.4499999999999999,0.25,fixed,0.5,8057,51469,0.25794827777518403,0.7769777200726237,0.5174629989239039,0.5340697530098052,0.3380870038275467,0.41405869120309036,0.6445327044805759,0.4414307641492938,0.5239891994102496,0.8304579868437384,0.6034311915910548,0.6989720825070227,0.09173169516852067,apartment_2/seq_0011
