scene,seq,N_req,ranking,auroc,prec_top,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
frl_apartment_5,seq_0001,4,support,0.5884878960809139,0.6155739828971236,7718,48964,0.34094625572774856,1.1056753389590943,0.7233107973434214,0.44195387406063746,0.26756392451597094,0.3333275450902829,0.6155739828971236,0.40205048607139937,0.48641090418660365,0.775330396475771,0.5702761212319255,0.6571793542270306,0.0933710947871493
frl_apartment_5,seq_0001,4,logit_count,0.5884878960809139,0.6155739828971236,7718,48964,0.34094625572774856,1.1056753389590943,0.7233107973434214,0.44195387406063746,0.26756392451597094,0.3333275450902829,0.6155739828971236,0.40205048607139937,0.48641090418660365,0.775330396475771,0.5702761212319255,0.6571793542270306,0.0933710947871493
frl_apartment_5,seq_0001,4,mlp_all,0.5996572145422401,0.724669603524229,7718,48964,0.1967180307819383,1.059932133101386,0.6283250819416621,0.5161959056750454,0.25443182746507637,0.34085632261306453,0.724669603524229,0.36829098929825993,0.48837860568622055,0.9143560507903602,0.5091087329466547,0.6540473017644948,0.10293723774662976
frl_apartment_5,seq_0001,4,mlp_noconf,0.5996572145422401,0.724669603524229,7718,48964,0.1967180307819383,1.059932133101386,0.6283250819416621,0.5161959056750454,0.25443182746507637,0.34085632261306453,0.724669603524229,0.36829098929825993,0.48837860568622055,0.9143560507903602,0.5091087329466547,0.6540473017644948,0.10293723774662976
frl_apartment_5,seq_0001,-1,support,0.6129009924649356,0.5908584858980702,16168,48964,0.35116067968688414,0.7726915170706011,0.5619260983787426,0.4019668480950025,0.3863450698472347,0.39400117255341516,0.5908584858980702,0.5017563924515971,0.5426743278133374,0.7767194458189015,0.6853606731476186,0.7281857612694581,0.13275485105220006
frl_apartment_5,seq_0001,-1,logit_count,0.6129009924649356,0.5908584858980702,16168,48964,0.35116067968688414,0.7726915170706011,0.5619260983787426,0.4019668480950025,0.3863450698472347,0.39400117255341516,0.5908584858980702,0.5017563924515971,0.5426743278133374,0.7767194458189015,0.6853606731476186,0.7281857612694581,0.13275485105220006
frl_apartment_5,seq_0001,-1,mlp_all,0.6008381538042129,0.5850445324096981,16168,48964,0.35780642469886076,0.8271180454490685,0.5924622350739647,0.39312221672439385,0.37080303896740463,0.3816365843671449,0.5850445324096981,0.4875010211584021,0.5318371905492377,0.794470559129144,0.6586063230128257,0.7201867156797378,0.12388570653831814
frl_apartment_5,seq_0001,-1,mlp_noconf,0.6008381538042129,0.5850445324096981,16168,48964,0.35780642469886076,0.8271180454490685,0.5924622350739647,0.39312221672439385,0.37080303896740463,0.3816365843671449,0.5850445324096981,0.4875010211584021,0.5318371905492377,0.794470559129144,0.6586063230128257,0.7201867156797378,0.12388570653831814
apartment_2,seq_0011,4,support,0.6779678805436046,0.5643386481024029,8906,51469,0.43285285050948,0.6974466323043219,0.565149741406901,0.44677745340220076,0.3023567584371175,0.36064614435858755,0.5643386481024029,0.42612057743496085,0.4855854827699607,0.7151358634628341,0.653344731780295,0.68284526726166,0.0797343513878947
apartment_2,seq_0011,4,logit_count,0.6779678805436046,0.5643386481024029,8906,51469,0.43285285050948,0.6974466323043219,0.565149741406901,0.44677745340220076,0.3023567584371175,0.36064614435858755,0.5643386481024029,0.42612057743496085,0.4855854827699607,0.7151358634628341,0.653344731780295,0.68284526726166,0.0797343513878947
