scene,seq,n_steps,N_req,N,ranking,ref,frac,n_cand,k,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,hit_b0,hit_b1,hit_b2,hit_b3,hit_b4,hit_b5,hit_b6,hit_b7,hit_b8,nref_b0,nref_b1,nref_b2,nref_b3,nref_b4,nref_b5,nref_b6,nref_b7,nref_b8
frl_apartment_5,seq_0000,15,1,1,B_argmax,fixed,0.5,9423,1,4711,48021,0.48960370371410494,0.9520936912360336,0.7208486974750693,0.33198896200382083,0.1365652527019429,0.19352363106488474,0.47718106559116963,0.26284333937235793,0.338972239088317,0.6661006155805561,0.4942004539680556,0.5674169148811951,0.05393673286099192,2346.0,2329.0,2285.0,1143.0,3309.0,1210.0,0.0,0.0,0.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,B_argmax,subset,0.5,9423,1,4711,11762,0.505066176068103,0.5182390625417923,0.5116526193049477,0.2893228613882403,0.31941846624723685,0.30362671446625705,0.4408830396943324,0.48656691038938954,0.46259983829378404,0.6580343876034812,0.7390749872470668,0.6962042705900515,0.08592269799166351,,,,,,,,,,,,,,,,,,
frl_apartment_5,seq_0000,15,1,1,B_argmax,fixed,0.25,9423,1,2355,48021,0.3081504340553675,1.2682575608088618,0.7882039974321147,0.4645435244161359,0.0991024760000833,0.1633557709819579,0.635244161358811,0.17504841631786094,0.27446502037539017,0.7932059447983015,0.39709710335061743,0.5292430083746003,0.04662316658301266,2287.0,2184.0,1826.0,221.0,1659.0,229.0,0.0,0.0,0.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,B_argmax,subset,0.25,9423,1,2355,11762,0.3178900933066547,0.6944720654886317,0.5061810793976432,0.4229299363057325,0.27299778949158304,0.3318130128786036,0.6093418259023354,0.4025675905458255,0.484828516634055,0.7919320594479831,0.6647678966162217,0.7227995130096438,0.08831261950286808,,,,,,,,,,,,,,,,,,
frl_apartment_5,seq_0000,15,1,1,B_argmax,fixed,0.1,9423,1,942,48021,0.27539117806545627,2.5394261527480073,1.4074086654067317,0.4883227176220807,0.04564669623706295,0.08348912195495965,0.6602972399150743,0.08381749651194269,0.14875249445850836,0.8014861995753716,0.17223714624851627,0.28354192464313854,0.022507659674758426,1447.0,1495.0,1004.0,0.0,79.0,0.0,0.0,0.0,0.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,B_argmax,subset,0.1,9423,1,942,11762,0.28087074156444003,1.502420505065876,0.8916456233151581,0.4426751592356688,0.14801904438020744,0.22185541567809197,0.6518046709129511,0.24655670804284985,0.3577776554331529,0.8014861995753716,0.4101343308961061,0.5426071908131078,0.04780062644695628,,,,,,,,,,,,,,,,,,
frl_apartment_5,seq_0000,15,1,1,topk_count1,fixed,0.5,9443,1,4721,48021,0.4881714857229879,0.9382638264151762,0.713217656069082,0.3321330226646897,0.13662772537015055,0.19361083280640423,0.47659394196144883,0.26253097603131964,0.3385643474002792,0.6676551578055496,0.49405468440890443,0.5678839006043397,0.05385727821273625,2327.0,2328.0,2290.0,1139.0,3322.0,1201.0,0.0,0.0,0.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,topk_count1,subset,0.5,9443,1,4721,11762,0.5037131297814132,0.5124117159288171,0.5080624228551152,0.2893454776530396,0.3191634075837443,0.3035238789677014,0.4416437195509426,0.4858867539534093,0.4627100444166927,0.6596060156746452,0.7387349090290767,0.6969316014085528,0.08563588190764572,,,,,,,,,,,,,,,,,,
frl_apartment_5,seq_0000,15,1,1,topk_count1,fixed,0.25,9443,1,2360,48021,0.3084860157105831,1.2726877072193237,0.7905868614649534,0.4652542372881356,0.09928989400470628,0.1636543233556954,0.6326271186440678,0.17481934986776618,0.2739388080894262,0.7927966101694915,0.3945773723995752,0.5269099843524192,0.046610169491525424,2273.0,2202.0,1827.0,221.0,1643.0,229.0,0.0,0.0,0.0,3399.0,5381.0,6473.0,3801.0,10549.0,5858.0,5570.0,4152.0,2838.0
frl_apartment_5,seq_0000,15,1,1,topk_count1,subset,0.25,9443,1,2360,11762,0.3181643070773298,0.6964053267732865,0.5072848169253081,0.4216101694915254,0.2729127699370855,0.3313434090002536,0.6080508474576272,0.4019724536643428,0.48398822251667917,0.7915254237288135,0.6632375446352661,0.721724968213384,0.08812992596130881,,,,,,,,,,,,,,,,,,
