scene,seq,n_steps,order,k,view,n_pts,overlap_frac,prec_pts_all,prec_overlap_pts,prec_new_pts,dist_nearest_m,angle_nearest_deg,n_new_vox,prec_new_vox,wrong_near,wrong_disp,wrong_hall
apartment_2,seq_0011,15,spread,1,0,32768,0.0,0.68951416015625,,0.68951416015625,,,12097,0.4375464991320162,2274,1315,3215
apartment_2,seq_0011,15,spread,2,14,32768,0.1593017578125,0.7664794921875,0.8388888888888889,0.7527588209670394,2.1,57.96161742913497,6793,0.3971735610186957,1364,1290,1441
apartment_2,seq_0011,15,spread,3,7,32768,0.7178955078125,0.74530029296875,0.8711103553817378,0.42514063176114236,1.05,31.172264797166374,6188,0.37944408532643825,1345,833,1662
apartment_2,seq_0011,15,spread,4,4,32768,0.770751953125,0.74835205078125,0.8735350015837821,0.3274760383386581,0.4500000000000001,13.4906724205673,5327,0.3027970715224329,1434,553,1727
apartment_2,seq_0011,15,spread,5,11,32768,0.686981201171875,0.742218017578125,0.9084891830660566,0.37730330505995907,0.4500000000000001,14.693639710932567,5830,0.2703259005145798,1843,1207,1204
apartment_2,seq_0011,15,spread,6,2,32768,0.84429931640625,0.716888427734375,0.8028988650328923,0.25049000392003135,0.29999999999999993,8.86743199388021,4249,0.25394210402447637,935,597,1638
apartment_2,seq_0011,15,spread,7,9,32768,0.89178466796875,0.770843505859375,0.8255766203545274,0.3197969543147208,0.29999999999999993,9.947553801190786,2814,0.263681592039801,643,397,1032
apartment_2,seq_0011,15,spread,8,5,32768,0.89447021484375,0.7332763671875,0.7986352780620949,0.1792943898207056,0.1500000000000002,4.603018430214574,3018,0.16699801192842942,542,591,1381
apartment_2,seq_0011,15,spread,9,13,32768,0.811920166015625,0.749481201171875,0.8679947378312347,0.23787116663962357,0.1500000000000002,5.09155118459905,4008,0.21007984031936128,1316,783,1067
apartment_2,seq_0011,15,spread,10,1,32768,0.912353515625,0.706787109375,0.7555191329943806,0.19951253481894152,0.14999999999999997,4.514268919946601,2555,0.17221135029354206,415,229,1471
apartment_2,seq_0011,15,spread,11,3,32768,0.94085693359375,0.7398681640625,0.7749918910152449,0.18111455108359134,0.14999999999999997,4.462894941233359,1733,0.1673398730525101,392,154,897
apartment_2,seq_0011,15,spread,12,8,32768,0.905242919921875,0.780242919921875,0.8222701682230388,0.37874396135265703,0.14999999999999997,5.016464718252517,2293,0.2642825992150022,503,274,910
apartment_2,seq_0011,15,spread,13,10,32768,0.908477783203125,0.7337646484375,0.7929725553428063,0.1460486828942981,0.14999999999999997,5.039503123906842,2179,0.1372189077558513,564,434,882
apartment_2,seq_0011,15,spread,14,6,32768,0.8935546875,0.722198486328125,0.7893784153005464,0.15825688073394495,0.14999999999999974,4.498293641650856,2376,0.17297979797979798,609,506,850
apartment_2,seq_0011,15,spread,15,12,32768,0.914886474609375,0.774993896484375,0.8190399946629308,0.30154177124417353,0.14999999999999974,5.156506685422808,1856,0.1896551724137931,581,344,579
apartment_2,seq_0011,15,random,1,2,32768,0.0,0.716888427734375,,0.716888427734375,,,12152,0.4663429888084266,2310,1366,2809
apartment_2,seq_0011,15,random,2,11,32768,0.47576904296875,0.742218017578125,0.9401539448364337,0.562580044242636,1.3499999999999999,38.19139810771467,7698,0.35398804884385554,2113,1426,1434
apartment_2,seq_0011,15,random,3,3,32768,0.77777099609375,0.7398681640625,0.8586675037275366,0.3240867893435869,0.14999999999999997,4.462894941233359,5343,0.2923451244619128,1569,506,1706
apartment_2,seq_0011,15,random,4,10,32768,0.744659423828125,0.7337646484375,0.8707020204089996,0.3344089876897335,0.14999999999999997,5.039503123906842,4984,0.2949438202247191,1323,957,1234
apartment_2,seq_0011,15,random,5,0,32768,0.826568603515625,0.68951416015625,0.7749307734908621,0.2824212563786732,0.29999999999999993,8.941807682288733,4889,0.28615258744119454,1033,435,2022
apartment_2,seq_0011,15,random,6,4,32768,0.871063232421875,0.74835205078125,0.8122481869460113,0.3166863905325444,0.14999999999999997,4.572148516930501,3373,0.28698487992884675,803,344,1258
apartment_2,seq_0011,15,random,7,7,32768,0.869720458984375,0.74530029296875,0.8171865679497526,0.2654017334270321,0.4499999999999999,14.534957417820026,3451,0.22891915386844394,571,597,1493
apartment_2,seq_0011,15,random,8,5,32768,0.89361572265625,0.7332763671875,0.8026774127450311,0.15031554790590934,0.1500000000000002,4.603018430214574,3015,0.13996683250414593,501,594,1498
apartment_2,seq_0011,15,random,9,14,32768,0.68536376953125,0.7664794921875,0.8754564075162525,0.5290979631425801,0.4500000000000001,18.902136260781457,4357,0.322010557723204,1004,988,962
apartment_2,seq_0011,15,random,10,12,32768,0.8814697265625,0.774993896484375,0.8387342473341642,0.3009783728115345,0.14999999999999974,5.156506685422808,2500,0.224,737,464,739
apartment_2,seq_0011,15,random,11,6,32768,0.879119873046875,0.722198486328125,0.7947373902176554,0.19464781620802826,0.14999999999999974,4.498293641650856,2794,0.20078740157480315,788,522,923
apartment_2,seq_0011,15,random,12,9,32768,0.944091796875,0.770843505859375,0.8040147401086113,0.21069868995633187,0.14999999999999997,5.01154212618705,1698,0.18374558303886926,313,291,782
apartment_2,seq_0011,15,random,13,13,32768,0.838104248046875,0.749481201171875,0.8541674252630812,0.20754005655042412,0.1500000000000002,5.09155118459905,3489,0.17196904557179707,1144,710,1035
apartment_2,seq_0011,15,random,14,8,32768,0.92889404296875,0.780242919921875,0.8119455943228858,0.3660944206008584,0.14999999999999997,5.016464718252517,1748,0.2311212814645309,319,194,831
apartment_2,seq_0011,15,random,15,1,32768,0.938995361328125,0.706787109375,0.7406155546166596,0.18609304652326164,0.14999999999999997,4.514268919946601,1825,0.14246575342465753,196,147,1222
apartment_2,seq_0011,15,sequential,1,0,32768,0.0,0.68951416015625,,0.68951416015625,,,12097,0.4375464991320162,2274,1315,3215
apartment_2,seq_0011,15,sequential,2,1,32768,0.762481689453125,0.706787109375,0.8137282369421653,0.36348451753822436,0.14999999999999997,4.514268919946601,6353,0.3478671493782465,1339,667,2137
apartment_2,seq_0011,15,sequential,3,2,32768,0.807891845703125,0.716888427734375,0.8112038680920183,0.32025416997617157,0.14999999999999997,4.46042530045324,5057,0.2932568716630413,951,677,1946
apartment_2,seq_0011,15,sequential,4,3,32768,0.832855224609375,0.7398681640625,0.8136381957421861,0.3722840971334672,0.14999999999999997,4.462894941233359,3817,0.31726486769714435,1118,274,1214
apartment_2,seq_0011,15,sequential,5,4,32768,0.85150146484375,0.74835205078125,0.8219482474374596,0.3263460748047678,0.14999999999999997,4.572148516930501,3714,0.28998384491114704,912,443,1282
apartment_2,seq_0011,15,sequential,6,5,32768,0.87908935546875,0.7332763671875,0.809761855169062,0.17718324078748107,0.1500000000000002,4.603018430214574,3387,0.16031886625332153,524,725,1595
apartment_2,seq_0011,15,sequential,7,6,32768,0.822998046875,0.722198486328125,0.8345075645209137,0.2,0.14999999999999974,4.498293641650856,3890,0.19768637532133676,989,876,1256
apartment_2,seq_0011,15,sequential,8,7,32768,0.861175537109375,0.74530029296875,0.805131294517878,0.37414816443174326,0.1500000000000002,4.9393929184594425,3201,0.30896594814120587,596,442,1174
apartment_2,seq_0011,15,sequential,9,8,32768,0.862548828125,0.780242919921875,0.8302080384941976,0.466696269982238,0.14999999999999997,5.016464718252517,2971,0.3402894648266577,609,333,1018
apartment_2,seq_0011,15,sequential,10,9,32768,0.91815185546875,0.770843505859375,0.8086153027986439,0.3471290082028337,0.14999999999999997,5.01154212618705,2249,0.2681191640729213,455,357,834
apartment_2,seq_0011,15,sequential,11,10,32768,0.882965087890625,0.7337646484375,0.7976359174644869,0.25189048239895695,0.14999999999999997,5.039503123906842,2722,0.21491550330639236,662,464,1011
apartment_2,seq_0011,15,sequential,12,11,32768,0.764251708984375,0.742218017578125,0.8655113205286906,0.3425242718446602,0.14999999999999997,4.995459722789284,4337,0.23656905695181002,1521,977,813
apartment_2,seq_0011,15,sequential,13,12,32768,0.808502197265625,0.774993896484375,0.8081002528969916,0.6352191235059761,0.14999999999999974,5.156506685422808,2421,0.30359355638166047,673,378,635
apartment_2,seq_0011,15,sequential,14,13,32768,0.813995361328125,0.749481201171875,0.8599332658493608,0.26611977030352746,0.1500000000000002,5.09155118459905,3693,0.1957757920389927,1199,741,1030
apartment_2,seq_0011,15,sequential,15,14,32768,0.8258056640625,0.7664794921875,0.8672579453067258,0.2887175893482831,0.1500000000000002,6.511526160783845,3407,0.2568241855004403,891,867,774
apartment_2,seq_0005,18,spread,1,0,32768,0.0,0.7445068359375,,0.7445068359375,,,8028,0.510587942202292,1675,1495,759
apartment_2,seq_0005,18,spread,2,17,32768,0.19927978515625,0.71539306640625,0.9327718223583461,0.6612927814620017,2.55,56.515330617289315,6185,0.5573160873080032,2177,560,1
apartment_2,seq_0005,18,spread,3,8,32768,0.51019287109375,0.84173583984375,0.9319894724249312,0.7477258566978193,1.2,39.839695729774576,4664,0.7272727272727273,1215,57,0
apartment_2,seq_0005,18,spread,4,12,32768,0.69580078125,0.799713134765625,0.9171491228070175,0.531099518459069,0.6000000000000001,20.009922492399745,3479,0.4673756826674332,1323,522,8
apartment_2,seq_0005,18,spread,5,4,32768,0.61126708984375,0.646026611328125,0.8614078881677484,0.3073480923221856,0.6,23.67295121840923,3865,0.23699870633893919,1438,1262,249
apartment_2,seq_0005,18,spread,6,14,32768,0.81280517578125,0.798126220703125,0.8516182323346099,0.5658624062601891,0.30000000000000016,10.261637283120725,2316,0.5272020725388601,906,189,0
apartment_2,seq_0005,18,spread,7,2,32768,0.690338134765625,0.78070068359375,0.9186596525352548,0.47314477185374987,0.3,11.589751798436632,4171,0.31551186765763606,1362,1205,288
apartment_2,seq_0005,18,spread,8,6,32768,0.7044677734375,0.72637939453125,0.8896205163749783,0.3372573316811235,0.3,12.249783820478784,3250,0.3172307692307692,1445,560,214
apartment_2,seq_0005,18,spread,9,10,32768,0.89862060546875,0.822540283203125,0.8515248251035794,0.5656231186032511,0.3,11.251976355486809,1607,0.5059116365899191,655,139,0
apartment_2,seq_0005,18,spread,10,1,32768,0.851776123046875,0.73370361328125,0.8164164666260614,0.25838995264566605,0.15,5.335867242480512,2782,0.1811646297627606,663,1003,612
apartment_2,seq_0005,18,spread,11,3,32768,0.8455810546875,0.68817138671875,0.7864154756748953,0.15019762845849802,0.15,6.240377164298716,1893,0.1347068145800317,741,705,192
apartment_2,seq_0005,18,spread,12,7,32768,0.8179931640625,0.805572509765625,0.8559543351738547,0.5791415157612341,0.1499999999999999,5.9773926103599475,2281,0.46733888645330995,811,404,0
apartment_2,seq_0005,18,spread,13,5,32768,0.813568115234375,0.689971923828125,0.8115833302074347,0.15927320347028973,0.14999999999999983,6.377892590075587,2144,0.2196828358208955,845,442,386
apartment_2,seq_0005,18,spread,14,9,32768,0.95098876953125,0.806854248046875,0.8288941659713754,0.3792029887920299,0.1499999999999997,5.756183385566173,1075,0.3358139534883721,541,173,0
apartment_2,seq_0005,18,spread,15,11,32768,0.9600830078125,0.831756591796875,0.8486331849968214,0.4258409785932722,0.1499999999999997,5.287788268803134,793,0.3745271122320303,412,84,0
apartment_2,seq_0005,18,spread,16,13,32768,0.95977783203125,0.824920654296875,0.8428934817170112,0.3960546282245827,0.1499999999999997,5.184457444385549,745,0.436241610738255,360,60,0
apartment_2,seq_0005,18,spread,17,16,32768,0.93206787109375,0.757110595703125,0.7955274703686727,0.23000898472596587,0.1499999999999997,5.081623462149596,1011,0.26805143422354105,516,224,0
apartment_2,seq_0005,18,spread,18,15,32768,0.921234130859375,0.744171142578125,0.7826879120151058,0.29368461836497484,0.14999999999999952,5.1547406000374405,1338,0.37070254110612855,619,223,0
apartment_2,seq_0005,18,random,1,2,32768,0.0,0.78070068359375,,0.78070068359375,,,7491,0.5080763582966226,1903,1473,309
