scene,seq,n_steps,N_req,N,seed,n_vox,ranking,frac,ref,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
frl_apartment_5,seq_0006,18,1,1,0,9608,support,1.0,fixed,9608,45500,0.35605320872664886,0.3063957921579002,0.3312245004422745,0.3804121565362198,0.3103076923076923,0.34180230557475283,0.5380932556203164,0.4966813186813187,0.5165586291205422,0.781744379683597,0.8153406593406594,0.7981891538555677,0.10687545458434947
frl_apartment_5,seq_0006,18,1,1,0,9608,support,1.0,subset,9608,12664,0.37599569359196694,0.18508829676111088,0.2805419951765389,0.3428393005828476,0.5317435249526216,0.41689036843960153,0.5049958368026645,0.6982785849652559,0.5861136444965043,0.7661323896752706,0.9228521794061908,0.8372213203937162,0.13754849247941198
frl_apartment_5,seq_0006,18,1,1,0,9608,support,0.5,fixed,4804,45500,0.3190642639071098,0.7486474360779428,0.5338558499925263,0.4714820982514571,0.22874725274725274,0.3080425993018102,0.6144879267277269,0.40305494505494505,0.48680484019364095,0.7966278101582015,0.6748131868131868,0.7306782295495866,0.08811528330148236
frl_apartment_5,seq_0006,18,1,1,0,9608,support,0.5,subset,4804,12664,0.33207490669789924,0.39761239556684885,0.36484365113237405,0.43859283930058285,0.45246367656348707,0.4454202961344673,0.5949208992506245,0.6420562223626026,0.6175905091587492,0.7891340549542049,0.8539166140240051,0.8202482040758835,0.14080459770114942
frl_apartment_5,seq_0006,18,1,1,0,9608,support,0.25,fixed,2402,45500,0.32133126400646295,1.358590224400982,0.8399607442037225,0.5570358034970858,0.14325274725274725,0.22789722631808437,0.6648626144879267,0.24224175824175825,0.35510244149327325,0.776436303080766,0.48854945054945054,0.599734073159595,0.06341157702825889
frl_apartment_5,seq_0006,18,1,1,0,9608,support,0.25,subset,2402,12664,0.3265489901937048,0.7028933408574135,0.5147211655255591,0.5470441298917569,0.34957359444093494,0.4265634676057733,0.6627810158201499,0.4947883765003159,0.5665947026043948,0.7747710241465445,0.740840176879343,0.7574257859551301,0.1206977840641207
frl_apartment_5,seq_0006,18,1,1,0,9608,support,0.1,fixed,960,45500,0.3112973685842468,2.3883182369412754,1.3498078027627611,0.5729166666666666,0.06052747252747253,0.109487784814976,0.6604166666666667,0.08778021978021978,0.15496327556726736,0.7625,0.15916483516483518,0.2633564440841049,0.027809273736348988
frl_apartment_5,seq_0006,18,1,1,0,9608,support,0.1,subset,960,12664,0.3136572010686296,1.4188895652324025,0.866273383150516,0.5677083333333334,0.1865129500947568,0.28077954937073313,0.6604166666666667,0.2507106759317751,0.3634475690838366,0.759375,0.391424510423247,0.5165764929693678,0.05839128723264663
frl_apartment_5,seq_0006,18,1,1,0,9608,views,0.5,fixed,4804,45500,0.3190642639071098,0.7486474360779428,0.5338558499925263,0.4714820982514571,0.22874725274725274,0.3080425993018102,0.6144879267277269,0.40305494505494505,0.48680484019364095,0.7966278101582015,0.6748131868131868,0.7306782295495866,0.08811528330148236
frl_apartment_5,seq_0006,18,1,1,0,9608,views,0.5,subset,4804,12664,0.33207490669789924,0.39761239556684885,0.36484365113237405,0.43859283930058285,0.45246367656348707,0.4454202961344673,0.5949208992506245,0.6420562223626026,0.6175905091587492,0.7891340549542049,0.8539166140240051,0.8202482040758835,0.14080459770114942
